family	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Atopobiaceae	0	0	0	0.06925047983402	0.00306576249031	0.118754012206653	0.001269193290767	0.00978875488413	0	0	0.00382272370175	0	0.008203044109369	0.00508802158595	0.042793418930999	0	0.0126932408549	0.00349581667491	0	0.05043066661711	0.00429271975533	0	0.137697404211677	0.00665552256922	0
Babesiidae	0	0	0	0	0	0	0	0	0	0	0	0.00067206936352	0	0	0	0	0	0	0.00203651358459	0	0	0	0	0	0
Bacillaceae	3.22260077956e-05	0.04336394644948	0.0340140876337	0.061519108079229	0.0404562349337923	0.027978746670358	0.0012796847325174	0.011357857942252	0.03654896676883	0.08126126298998	0.01488809789754	0.050683315910418	0.051424311110909	0.03900573689424	0.006825364841462	0.04636732410497	0.0055193461554	0.016847224885733	0.05812782816087	0.0213293594596	0.019755100970272	0.014490656132176	0.0247372331057958	0.02305736859743	0.00711901125912
Bacteroidaceae	0	24.9104739445274	2.2540685325822	12.5466872419307	14.1838548833902	11.4779143500852	0.115779156683709	2.05116906107778	3.22650364854361	1.3240204843112	0.54465498520708	0.50887746226439	7.60840485342053	14.0200193465906	1.93922512424717	1.95095113563726	0.721933633930751	0.404847316055355	17.4761669022757	0.692429352432931	0.371223261125039	38.1735780936785	34.1860146671899	0.962221493867051	0.836394465129582
Bangiaceae	0	0	0.198646429574	0	0.0010779349245	0	0	0	0	0	0	0.0643778577684	0	0	0	0	0	0	0	0	0	0	0.00217444057143	0	0.00769854511807
Beijerinckiaceae	0	0	0	0.00111168936671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beutenbergiaceae	0	0	0	0	0	0	0	0	0	0	0	0.000628120714923	0	0	0	0	0	0	0	0	0	0.000274729453418	0	0	0
Bifidobacteriaceae	0	3.22958063724586	0.0162005148227	0.64652099385794	0.032578713906053	0.245943972334869	0.000823648385056	4.86765341229387	0.07128353933183	0.0234557223184	0.009218074771	0.0049760905947	0.000620841088242	1.44910446456936	0.002094939675261	0	0.08786034475236	0.00639929224623	0	2.5886387039769	0.00171447876664	0	0.265314103689707	0	0.00464331796221
Blastocladiaceae	0	0.000287844697199	0.000132030317163	0.000139661078688	6.87791301652e-05	0.000106546601614	5.82515254612e-05	0.000105829451756	0.00040072837326	0.00167273142555	0.0011365399231	0.000102692958511	4.39082272427e-05	0.00036556191506	0.000115139451013	0.000316155280664	0.000343077014541	0.000188374412843	0.000466772366965	0.000170923875805	0.00127627518001	2.24580878257e-05	6.07001460556e-05	0.0010520026649	9.21030617297e-05
Blattabacteriaceae	0	0	0	0.01785131307077	0	0.00379803486603	0	0	0	0	0	0	0.00195647931805	0	0	0	0	0	0	0	0	0	0.00708741463151	0	0
Borreliaceae	0	0	0	0	0.000628471824606	0	0	0	0	0	0	0.00326165375756	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobiaceae	4.65956854199e-05	0.245740596584807	0.1262795475142	0.051291818080219	0.0060637684624714	0.009926781993976	0.0025292597795686	0.01011023152106	0.088038929799797	0.07370962719498	0.085934274417204	0.099091129400529	0.054413135304023	0.049406308383	0.007385386158401	0.05053160072565	0.044906118826915	0.017065837431509	0.035666830153236	0.054931214927285	0.016043702851373	0.008904248173753	0.0017900846228052	0.05168485878888	0.002820312745527
Brevibacteriaceae	0	0	0	0.00036534117448	0	0.00111486638758	0	0.000346050744439	0	0	0.00135140413508	0	0	0	0	0	0	0.0041064249895	0	0	0	0.000293741973781	0.000113418768899	0	0
Brucellaceae	0	0	0	0.01432097090325	0.00555975909916	0.0206060659252	0.002134729830992	0	0	0.00917664649392	0.01825368087086	0	0.00190803995779	0	0.002020109753395	0	0.000418250909797	0.002206931525015	0	0	0.002637930797399	0.00197129011635	0	0	0
Bryopsidaceae	0	0	0	0	0.00160030434298	0	0	0	0	0	0	0	0	0	0.00714395633526	0	0	0	0	0	0	0	0.00322817881757	0	0
Burkholderiaceae	0.000428861009483	0.145666290058196	0.326696203789621	0.153899433397734	0.693320747376453	0.182376220966062	0.0690692745720874	0.744576505059659	0.304487206710236	0.299291927516716	0.167814606701568	0.150158793379996	0.110181084494831	0.22524818324013	0.126384430108119	0.26143397627243	0.192726099134722	0.096368916967451	0.202115870946786	0.179547662633499	0.187634168366381	0.090598283461796	0.0506794947380231	0.106981502005437	0.0492479607562
Cafeteriaceae	0	0	0	0.221798500898	0.597348756436	1.01525249852	0	0.735305506179	0	0	0	0	0	0	0	0	0.0504488279722	0	0	0.113103151147	0	0	0.0918086605902	0	0
Campylobacteraceae	0	0.0175280564606	0.01328082163318	0.012159083198	0.0067460259427981	0.006391589801339	0.000368776948348	0.004373713690966	0.0135302332828	0	0.01104955469214	0.00283088866405	0.007470074352275	0	0.177877311285632	0.0045803534849	0.00346554439019	0.14935339963873	2.72777253345411	0	0	0.02176204984253	0.017583355224817	0	0.00279443212313
Candidatus Midichloriaceae	0	0	0	0	0	0	0	0	0	0	0.00498553723679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacteriaceae	0	0.0107142259482	0	0.0576504416769	0.00234853772123	0	0	0.00080303577511	0.0729776177401	0	0.0125441240575	0.00623388806561	0.00732988112169	0	0.003227469204608	0	0	0	0.0850050499068	0.00778184058297	0	0.46624825143	0.475595993186	0	0.0177049519384
Caulobacteraceae	0	0.01004931361256	0.00713801368535	0.002733038974807	0.0001240059184807	0.002511619733643	0.000185002460493	0.000324595268557	0	0.00205221022047	0.00126761579106	0.00372146683515	0.005055310588502	0	0.000235433649158	0.00456011884618	0.00605815336132	0.00893210531776	0.00257949591733	0.002171365459049	0.00486914611087	0.000570601572793	0.0002203189659453	0.023705892503085	0.00037665908133
Cellulomonadaceae	0	0	0	0	0	0.0070847086004	0.00010086917494	0	0	0	0	0	0	0	0	0	0	0.001710500511365	0	0.00228833816512	0	0	0	0.005277154069639	0.000850597223909
Cellvibrionaceae	0	0	0	0	4.8548015828e-05	0	9.08762219805e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.79324195544e-05	0	0
Chaetomiaceae	0	0	0.000408607576254	0.000129666979719	0	0	0.00010140574921	0	0	0	0	0.000318670022977	3.39718079468e-05	0	0	0	0	9.7163557979e-05	0	0.000132243851483	8.97685882689e-05	0	0	0.0002184835133306	0
Chattonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110626339632	0	0
Chitinophagaceae	0	0	0	0.000176609408009	2.71797303335e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179545361486	0
Chlamydiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0080467648685	0	0	0	0	0.00398179259125	0	0	0	0	0
Chlorellaceae	0	0	0.0500708021826	0	0	0.00808128606713	0	0	0	0	0	0	0	0	0.00727752635272	0	0	0	0	0	0	0	0.0690592525468	0	0
Chlorobiaceae	0	0	0	0.000618458222146	0	0.00091230559592	0	0	0	0.00404014942691	0	0	0.000486094701782	0	0	0	0	0	0	0	0	0	0.001088240846149	0	0
Chromatiaceae	0	0.00112025041301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000593425198416	0	0	0	0	0	0.000281249652723	0	0
Chromobacteriaceae	0	0	0.0139235124511	0.19615393830224	0.26723844674588	0.237705062387081	0.00088559261157	0.00321622627494	0.00360841405307	0.00652967994698	0	0.002697897578764	0.000263934951993	0.00659224290485	0.000252963614443	0.00625139373485	0.00303975314589	0.00814412826063	0.00280407677544	0.00269453655496	0	0.004744017474326	0.06297834364634	0.0099180788287	0.00445174881599
Chrysiogenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438045406551	0	0	0
Clostridiaceae	0	0.067005105162286	0.4789638501219	0.451098001577409	0.860179790432869	1.84673935391189	0.0065928533926826	0.136910285456904	1.48605068707338	0.1065616298357	0.02139557113891	0.322073668888287	0.281273378204116	0.0370688306955	0.17286288415515	0.0541285393359	0.03926623352049	0.0273882372617	14.1815674163613	0.06513440576689	0.019417784240734	12.8643278926291	0.25069156437486	0.020265356285973	0.06595107876633
