class	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria	18	125660	108811	753	14785	99544	1487	185610	237463	671	27464	47663	5255	113706	532	254561	283827	202500	46791	206239	302046	11766	205911	282066	44287
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1	2	44	716	3531	246	34	230	1	12	1	81	199	0	108	5	34	14	18	12	4	7	1684	12	9
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0	43	10	189	943	361	48	76	12	7	5	22	111	9	176	23	16	43	260	12	9	181	797	14	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	277	9152	7545	3407	36037	12236	23694	15752	6285	9250	8136	10479	12168	3363	12885	6829	5762	4545	4745	4131	5904	12110	18028	5953	4840
d__Bacteria|p__Spirochaetes|c__Spirochaetia	0	2	8	32	510	34	2	36	1	0	0	5	15	0	1166	14	6	2	3	1	2	8	128	5	1
d__Bacteria|p__Synergistetes|c__Synergistia	0	0	0	6	4	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	2	786	4	1
d__Bacteria|p__Tenericutes|c__Mollicutes	0	1	2	28	197	48	2	3	0	2	2	2	13	0	5	2	2	0	2	1	1	3	34	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae	0	0	0	6	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	28	1	0
d__Bacteria|p__Verrucomicrobia|c__Opitutae	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	1	1
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	0	1456	0	0	111	95	0	26	1	294	2	0	0	0	0	11	22	3	24	0	1047	0	0
