species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Corynebacterium minutissimum	0	0.00767468737384	0	0	0	0	0	0.000564337620304	0	0	0	0	0	0.00389873211654	0.000409322248892	0.00337180842905	0	0.00133934698525	0	0.00364581963619	0	0	0	0	0
Corynebacterium pseudodiphtheriticum	0	0	0	0	9.69064353534e-05	0.00258787561331	0	0.0256466669886	0	0	0	0	0	0	0.000432602302061	0	0.00370350469899	0.00294064338807	0.00377909386482	0.00192658714715	0	0.000506277582939	0.000781929520512	0	0
Corynebacterium resistens	5.07130263494e-05	0	0	0	0	0	0	0	0.0439947812033	0	0	0	0.000482055421944	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium simulans	0	0	0	0.000601006019117	0	0	0	0.000569272216917	0.00287410263264	0	0	0.00110480111507	0	0	0	0	0	0.00540423321133	0	0	0	0	0	0	0
Corynebacterium tuberculostearicum	0.000111219088697	0	0.00635791232847	0.0026901484843	0.000724512043687	0	0.00262978017928	0.0197478182523	0.019297051764	0.00805502855802	0.00746318381205	0.0111266403977	0.000528599539306	0.0176036129922	0.0106270228111	0	0.0110139026007	0.0332609163881	0.011238698241	0.0144039514634	0.0139679449729	0.00432587170973	0.00125271944647	0.00345403144199	0.000739202939954
Corynebacterium ulcerans	0	0	0	0	0	0	0	0.000585918077081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium urealyticum	0	0	0	0	0	0.00154119995462	0	0	0.0483045713743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium variabile	0	0	0	0	0	0	0	0	0	0	0	0	0.000730540934937	0	0	0	0	0	0	0	0	0	0	0	0.000510800678688
Coxiella burnetii	0	0	0	0	0.00191286232394	0	0	0.000735823390544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter sakazakii	0	0	0.0194333021418	0	0	0.000268639736281	0	0	0	0	0	0	0	0	0.00179742672748	0.0084607855431	0.00096112475474	0	0	0	0	0	0	0.00255937781868	0
Cronobacter turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00389916762482	0	0	0	0	0.000646166131664	0	0
Cryptobacterium curtum	0	0	0	0	0	0.0428836645789	0	0	0	0	0	0	0	0	0.00948524114904	0	0.0309545422242	0	0	0	0	0	0	0	0
Cryptococcus gattii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000355485617192	0	0	0	0	0	0	0	0
Cryptococcus neoformans	0	0	0	0	0	0	0	0	0	0	0.00031225396387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptomonas paramecium	0	0	0	0.0205287592596	0.0695051030128	0	0	0	0	0	0	0	0.0322703159338	0	0	0	0	0	0	0	0	0	0.0828499713244	0	0
Cryptosporidium parvum	0	0	0	0	2.69747698542e-05	0.000133718239257	0	0	0	0.00104965666472	0	0	0	0	0	0.000991953915511	0.000239204951005	0	0	0	0.000364034625766	0.000140926876861	0	0.000300064909526	0
Cupriavidus metallidurans	0	0.00059454251192	0	0.000230775690776	0.148136322207	0.000176057394218	0	0.00524617131622	0	0	0	0	0	0.00151013446735	0.000951281008023	0	0.000314944323167	0.00103756502663	0	0	0.00143789631033	0	0.000573147437366	0.000395074347081	0.000760954587097
Cupriavidus necator	0	0	0.00088921599894	0.00112873044555	0.002208745421197	0	0.00196160205912	0.02422061774354	0	0	0.00278346396567	0	0.00502722619168	0	0	0	0.004329889133778	0.0046518632947	0	0.000658167834758	0	0.00103773853483	6.67814145095e-05	0.001426842279782	0.00378300323792
Cupriavidus pinatubonensis	0	0.000566522036179	0	0.0255083250527	0.231512717363	0	5.73239200443e-05	0.136637201951	0	0	0	0.000404230646062	0.000172836106029	0	0.000151074605779	0	0.00420141628113	0	0.00122490511649	0.00807369888788	0	0	0.00873816480369	0.000752909401978	0
Cupriavidus taiwanensis	0	0.00126928671403	0	0	0.0367739200434	0.000187932155319	0	0.0210000612374	0	0	0.00273366166179	0.00271702364084	0	0	0	0	0	0	0	0	0.000511626627832	0	0	0.00253032849502	0
Cyanidioschyzon merolae	0	0	0	0.183888435937	0.357118465544	0.227131961419	0	0.132707746376	0	0	0	0	0.013764981742	0	0	0	0	0	0	0.107167343228	0	0.00704048394329	0.0326214062373	0	0.00962459689755
Cyanidium caldarium	0	0	0	0.00967392620332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300323335295	0	0
Cyanobium gracile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000991382479868	0	0	0	0
