Taxon	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	3448.0	2.0	1.0	0.0	5494.0	7.0	5.0	3.0	1.0	0.0	0.0	4.0	0.0	2.0	335.0	1688.0	1.0	2499.0	3859.0	2.0	1900.0	0.0	1.0	0.0	6.0	789.0	1.0	866.0	4.0	1747.0	1.0	1.0	1.0	1.0	0.0	272.0	3783.0	0.0	0.0	2032.0	9.0	3373.0	2.0	916.0	1.0	14.0	321.0	0.0	0.0	0.0	7.0	0.0	1.0	738.0	1178.0	1.0	2354.0	1.0	0.0	887.0	1.0	2.0	0.0	1.0	0.0	0.0	568.0	1.0	861.0	1856.0	0.0	2.0	1.0	2.0	11.0	1248.0	338.0	6.0	1.0	0.0	0.0	919.0	3.0	1.0	3.0	1.0	0.0	9.0	3.0	1.0
k__Bacteria;p__Actinobacteria	127.0	1114.0	84.0	212.0	1597.0	678.0	135.0	178.0	3247.0	1610.0	1546.0	982.0	385.0	317.0	1304.0	1357.0	2826.0	998.0	604.0	965.0	3174.0	1936.0	1155.0	1020.0	1305.0	205.0	114.0	2441.0	21.0	108.0	389.0	1081.0	360.0	1187.0	341.0	251.0	116.0	238.0	525.0	285.0	377.0	341.0	98.0	34.0	539.0	302.0	1003.0	1746.0	950.0	1054.0	184.0	1459.0	994.0	324.0	2025.0	1193.0	268.0	850.0	4111.0	402.0	54.0	3592.0	4808.0	1208.0	8.0	122.0	371.0	4436.0	2029.0	301.0	250.0	26.0	415.0	295.0	520.0	448.0	652.0	1195.0	613.0	197.0	879.0	722.0	946.0	339.0	388.0	2543.0	61.0	251.0	472.0	1545.0
k__Bacteria;p__Bacteroidetes	3541.0	3029.0	4636.0	2427.0	1709.0	6232.0	1421.0	1376.0	559.0	1275.0	5946.0	1950.0	10116.0	17130.0	6155.0	4671.0	7338.0	2440.0	7629.0	4495.0	2280.0	730.0	6446.0	9840.0	1008.0	13155.0	586.0	814.0	4962.0	9360.0	9444.0	7760.0	11071.0	4255.0	4547.0	11470.0	7013.0	1270.0	9858.0	1244.0	1444.0	6355.0	9783.0	15678.0	6118.0	5205.0	3913.0	2742.0	1991.0	4502.0	4297.0	1377.0	3104.0	10967.0	1948.0	12633.0	9240.0	1005.0	1871.0	13010.0	6666.0	8964.0	5653.0	696.0	15879.0	10710.0	2458.0	12631.0	10679.0	11579.0	9020.0	1194.0	7440.0	5085.0	4837.0	3957.0	3840.0	2791.0	11683.0	4296.0	3611.0	1983.0	2162.0	11653.0	2993.0	1677.0	13963.0	2032.0	10012.0	10035.0
k__Bacteria;p__DeinococcusThermus	13.0	0.0	4.0	9.0	44.0	0.0	1.0	0.0	0.0	260.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	50.0	0.0	1.0	0.0	40.0	1.0	18.0	2.0	100.0	0.0	0.0	0.0	0.0	14.0	1.0	35.0	0.0	0.0	5.0	3.0	0.0	360.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	1.0	0.0	2.0	0.0	156.0	0.0	0.0	1.0	4.0	0.0	352.0	749.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	332.0	0.0	0.0
k__Bacteria;p__Firmicutes	12081.0	20342.0	17551.0	19422.0	13239.0	15213.0	15084.0	11757.0	20345.0	20747.0	9311.0	17354.0	11550.0	7212.0	15963.0	16075.0	9903.0	14258.0	10396.0	16348.0	15314.0	22179.0	16705.0	13498.0	21176.0	9450.0	20274.0	19589.0	18859.0	12142.0	13276.0	13584.0	11286.0	17340.0	18672.0	10697.0	10707.0	19791.0	12511.0	14313.0	13496.0	12814.0	13966.0	5997.0	11670.0	16782.0	19030.0	14679.0	12240.0	14235.0	12137.0	21780.0	19826.0	11639.0	19313.0	10712.0	8737.0	5491.0	17118.0	10425.0	13604.0	11325.0	12504.0	22776.0	8184.0	11036.0	19008.0	7458.0	9757.0	10398.0	14052.0	21512.0	14559.0	18669.0	17708.0	12074.0	18044.0	18585.0	12056.0	19090.0	16425.0	19581.0	20155.0	11084.0	20331.0	20133.0	8718.0	21603.0	9860.0	10947.0
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	2.0	0.0	29.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	3.0	3.0	7.0	6.0	10.0	4.0	2.0	402.0	40.0	0.0	0.0	59.0	8953.0	9.0	2.0	503.0	3.0	1.0	3.0	62.0	0.0	1.0	0.0	0.0	16.0	1.0	6.0	1.0	2.0	14060.0	13.0	23.0	2.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	2.0	0.0	0.0	7.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	1.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	3532.0	269.0	1024.0	2921.0	1872.0	1460.0	7096.0	8834.0	315.0	1091.0	148.0	212.0	14.0	276.0	159.0	568.0	770.0	1259.0	878.0	329.0	654.0	138.0	340.0	399.0	523.0	973.0	205.0	553.0	182.0	374.0	406.0	775.0	2242.0	61.0	788.0	1634.0	374.0	3567.0	388.0	6913.0	709.0	508.0	890.0	339.0	773.0	2672.0	558.0	5401.0	9738.0	1183.0	53.0	115.0	201.0	354.0	353.0	341.0	909.0	3557.0	1493.0	196.0	398.0	526.0	2026.0	216.0	836.0	646.0	657.0	465.0	197.0	207.0	860.0	488.0	280.0	764.0	1734.0	260.0	1549.0	1396.0	218.0	525.0	656.0	370.0	1673.0	1530.0	612.0	372.0	1872.0	756.0	2269.0	2071.0
