Taxon	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Incertae_sedis	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	3444.0	2.0	1.0	0.0	5493.0	7.0	5.0	3.0	1.0	0.0	0.0	4.0	0.0	2.0	335.0	1688.0	1.0	2498.0	3858.0	2.0	1900.0	0.0	1.0	0.0	6.0	789.0	1.0	866.0	4.0	1747.0	1.0	1.0	1.0	1.0	0.0	272.0	3783.0	0.0	0.0	2032.0	9.0	3373.0	2.0	916.0	1.0	14.0	321.0	0.0	0.0	0.0	7.0	0.0	1.0	738.0	1178.0	1.0	2354.0	1.0	0.0	887.0	1.0	2.0	0.0	1.0	0.0	0.0	568.0	1.0	861.0	1856.0	0.0	2.0	1.0	2.0	11.0	1236.0	338.0	6.0	1.0	0.0	0.0	919.0	3.0	1.0	3.0	1.0	0.0	9.0	3.0	1.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	17.0	16.0	15.0	164.0	32.0	20.0	27.0	76.0	42.0	135.0	12.0	18.0	19.0	24.0	5.0	62.0	12.0	8.0	7.0	85.0	5.0	42.0	6.0	62.0	19.0	0.0	72.0	26.0	6.0	64.0	79.0	68.0	14.0	37.0	73.0	3.0	5.0	23.0	11.0	25.0	84.0	53.0	10.0	0.0	29.0	24.0	19.0	145.0	19.0	4.0	8.0	25.0	28.0	28.0	37.0	10.0	5.0	11.0	13.0	49.0	3.0	6.0	9.0	71.0	0.0	15.0	19.0	47.0	11.0	3.0	78.0	8.0	4.0	20.0	47.0	1.0	130.0	528.0	39.0	25.0	9.0	11.0	43.0	15.0	11.0	7.0	12.0	197.0	2.0	72.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	4.0	2.0	8.0	6.0	3.0	412.0	0.0	64.0	3099.0	1066.0	293.0	90.0	0.0	1.0	25.0	1.0	1181.0	358.0	125.0	6.0	1946.0	0.0	168.0	1.0	828.0	40.0	1.0	2075.0	2.0	19.0	186.0	439.0	0.0	5.0	0.0	122.0	1.0	92.0	274.0	39.0	1.0	2.0	79.0	23.0	240.0	184.0	116.0	1449.0	911.0	1005.0	13.0	631.0	333.0	81.0	278.0	601.0	134.0	180.0	2689.0	0.0	1.0	219.0	4798.0	2.0	8.0	3.0	62.0	4385.0	1263.0	84.0	92.0	0.0	0.0	8.0	440.0	3.0	384.0	2.0	532.0	65.0	152.0	0.0	232.0	18.0	275.0	1942.0	37.0	4.0	254.0	716.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	106.0	1096.0	61.0	42.0	1562.0	246.0	108.0	38.0	106.0	409.0	1241.0	874.0	366.0	292.0	1274.0	1294.0	1633.0	632.0	472.0	874.0	1223.0	1894.0	981.0	957.0	458.0	165.0	41.0	340.0	13.0	25.0	124.0	574.0	346.0	1145.0	268.0	126.0	110.0	123.0	240.0	221.0	292.0	286.0	9.0	11.0	270.0	94.0	868.0	152.0	20.0	45.0	163.0	803.0	633.0	215.0	1710.0	582.0	129.0	658.0	1409.0	353.0	50.0	3367.0	1.0	1135.0	0.0	104.0	290.0	4.0	755.0	214.0	80.0	18.0	411.0	267.0	33.0	444.0	138.0	665.0	42.0	107.0	718.0	711.0	671.0	306.0	102.0	594.0	12.0	50.0	216.0	757.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	3541.0	2940.0	4599.0	2204.0	1702.0	6226.0	1394.0	1364.0	530.0	1186.0	5940.0	1924.0	10110.0	17014.0	6139.0	4663.0	7324.0	2432.0	7619.0	4467.0	2277.0	714.0	6403.0	9779.0	971.0	13155.0	552.0	800.0	4940.0	9329.0	9437.0	7742.0	11029.0	4223.0	4537.0	11466.0	7005.0	1259.0	9840.0	1236.0	1403.0	6064.0	9783.0	15672.0	6118.0	5175.0	3869.0	2680.0	1941.0	4475.0	4297.0	1333.0	3017.0	10962.0	1916.0	12630.0	9239.0	987.0	1823.0	12796.0	6663.0	8962.0	5644.0	668.0	15878.0	10688.0	2450.0	12625.0	10670.0	11577.0	9008.0	1184.0	7403.0	4983.0	4832.0	3950.0	3791.0	2783.0	11682.0	4292.0	3576.0	1977.0	2129.0	11644.0	2908.0	1662.0	13961.0	1993.0	10006.0	10020.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	24.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0
