genus	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella	1036	2	0	0	34	0	0	0	3	331	1121	188	79	683	1004	830	104	530	342	746	1168	1807	923	927	427	108	0	254	2	0	396	290	1086	73	255	69	3	1	211	86	286	0	0	1	134	0	752	151	0	0	149	752	109	585	1203	483	26	630	1373	210	3312	0	0	883	0	1	113	0	455	102	5	125	131	24	2	279	109	555	1	0	392	148	96	653	21	431	2	2	160	725
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Denitrobacterium	27	0	0	2	1394	239	0	25	0	20	14	96	90	37	245	339	1096	35	40	0	21	9	0	0	0	10	0	0	0	18	141	0	21	23	4	10	5	0	4	0	0	8	0	245	0	1	54	0	0	0	10	0	52	13	16	27	16	0	0	0	1	0	0	16	0	14	27	0	0	29	11	123	10	0	0	33	25	36	0	35	259	265	8	0	4	0	0	2	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Eggerthella	9	38	17	32	37	1	108	0	29	0	23	39	0	0	2	0	0	0	0	8	0	16	23	41	26	0	41	11	3	3	2	53	15	1	1	0	2	69	9	0	6	0	6	8	2	93	2	0	19	7	0	4	0	0	13	1	0	28	34	101	0	1	5	8	0	14	0	4	0	0	0	0	4	4	10	0	0	10	31	21	0	2	0	9	19	20	10	46	24	27
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Enterorhabdus	0	0	0	0	1	0	0	0	0	6	1	0	54	130	0	36	419	4	0	0	0	0	0	0	0	42	0	2	0	0	1	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	44	30	238	24	79	0	0	3	1	0	0	143	0	0	44	0	0	59	36	139	0	0	0	55	3	0	0	0	2	0	187	0	9	0	0	0	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Gordonibacter	9	14	9	0	22	5	0	5	12	0	26	26	0	3	1	0	6	1	0	2	0	17	0	9	0	0	0	33	0	0	9	3	0	3	2	0	0	13	0	2	0	0	0	1	0	0	2	0	0	1	0	3	0	3	1	6	0	0	2	21	0	0	0	0	0	13	0	0	3	0	0	1	0	3	6	2	1	1	10	5	12	1	0	4	1	11	0	0	0	2
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Olsenella	0	0	0	0	0	0	0	0	0	0	8	0	10	0	11	26	0	19	18	0	6	0	3	0	0	1	0	3	0	2	0	0	9	20	0	8	8	0	0	9	0	0	0	0	23	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	41	0	0	4	0	0	0	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Slackia	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	20	0	37	68	62	28	0	0	0	0	4	0	0	0	0	0	0	0	0	0	35	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	37	0	0	0	2	0	0	0	85	0	0	0	0	238	21	27	0	110	1	0	2	0	0	0	29	30	178	11	0	0	88	0	0	0	0
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_unassigned	12	7	80	0	73	1	0	5	62	0	48	17	59	18	11	42	7	6	4	0	0	45	8	3	5	0	0	37	8	2	25	0	14	4	6	4	3	3	16	124	0	0	5	15	127	0	31	0	0	37	4	42	9	2	13	4	8	0	0	11	52	0	45	0	0	61	104	0	58	3	1	23	12	0	0	6	0	61	0	17	23	76	2	5	44	41	0	0	32	3
Actinobacteria_Actinobacteria_Solirubrobacterales_Conexibacteraceae_Conexibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Anaerorhabdus	1	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	1	0	1	0	1	10	0	0	0	8	0	0	8	0	0	2	0	0	1	1	2	1	0	61	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	97	0	0	0	0	0	3	5	0	8	4	0	1	0	0	0	1	9	0	1	0	0	0	0	0	0	0	0	5	0	1	5
Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	2414	3778	2294	608	790	3955	1056	766	245	679	3618	6584	12918	791	3994	3275	6847	1645	1299	641	1458	416	9467	4115	643	1866	237	633	2811	4641	4469	9952	3963	8456	3611	2854	1033	1096	6319	670	1046	5032	6056	5494	2797	4723	2584	2185	1513	3172	3860	846	7113	1362	805	6965	1966	845	1366	7084	5869	5535	6636	324	8769	7238	1612	12483	6527	4480	6806	5039	3389	4127	873	2228	1092	2177	9966	1997	890	1488	10899	1717	2020	1065	9179	1482	7720	8283
Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidales_incertae_sedis_Phocaeicola	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Barnesiella	309	481	166	1131	169	11	104	195	170	264	52	67	1287	109	255	147	116	54	56	172	113	122	204	137	224	84	216	134	169	849	347	109	68	22	145	41	149	92	588	50	136	1970	17	14	82	74	346	236	280	217	11	257	418	390	129	997	577	92	217	999	542	77	16	149	1	91	205	100	775	378	155	1486	707	37	66	34	1258	172	523	30	799	91	54	189	459	102	19	238	8	171
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Butyricimonas	0	0	0	0	9	0	9	0	0	0	0	0	136	18	52	1	1	4	6	10	1	1	4	0	0	5	1	0	10	88	8	0	3	57	0	0	17	14	0	0	0	41	0	0	1	0	5	0	0	0	0	0	20	1	0	20	55	0	0	0	6	0	0	1	0	0	11	0	129	84	0	8	35	0	0	50	4	6	0	20	0	7	10	0	1	3	248	0	127	0
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter	8	89	92	0	40	24	0	3	0	0	41	0	58	56	80	37	7	12	56	0	66	6	0	9	5	15	1	0	1	493	24	0	0	86	7	0	425	0	1	10	0	216	1	108	134	1	28	0	0	0	67	1	153	1	27	13	49	0	32	10	33	0	0	1	395	50	170	1	82	85	44	46	24	3	0	743	11	44	67	95	15	6	25	14	206	2	100	1	0	83
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Paludibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides	62	169	146	404	18	1422	42	289	87	165	31	1663	729	123	819	328	41	172	25	918	216	82	64	1521	41	387	57	25	74	504	238	54	88	37	121	1004	569	46	1842	51	154	344	109	72	369	323	336	141	123	68	281	102	288	210	293	330	345	41	83	247	205	21	7	64	2141	569	86	21	143	1058	713	335	223	87	211	126	179	153	144	41	258	35	22	76	173	67	736	123	28	1020
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas	0	1	106	3	16	0	1	0	0	48	11	0	3	0	2	14	0	3	0	0	0	0	25	3	6	0	26	0	7	0	70	3	1	15	28	1	2921	4	0	13	20	0	7395	0	239	22	1	87	0	2	0	4	2	3	0	0	4	1	0	34	0	0	0	20	0	5	0	0	7	1	42	2	5	2	0	0	94	185	52	2	1	0	1	2	0	0	0	112	0	9
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_unassigned	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
