order	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Planctomycetes_Planctomycetacia_Planctomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_Kiloniellales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	14	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	14	77	0	0	153	0	5	35	63	0	0	0	0	594	0
Proteobacteria_Alphaproteobacteria_Rhizobiales	18	520	6	1	1013	17	81	34	0	6	92	1	81	125	89	209	29	1031	177	0	494	14	99	188	394	77	0	405	60	24	522	306	3	58	83	42	102	313	153	115	0	319	23	204	1	2	436	0	1	1	46	1	128	108	221	0	235	0	493	21	208	14	373	1	44	233	252	2	4	48	65	65	413	434	276	64	404	17	0	334	245	313	199	429	467	1	0	27	1269	131
Proteobacteria_Alphaproteobacteria_Rhodobacterales	0	6	3	0	5	0	0	0	0	47	0	0	0	0	0	0	0	3	0	0	0	0	25	0	0	0	5	0	0	0	0	2	0	10	16	0	0	0	0	2	0	0	0	0	12	0	0	64	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	15	0	0	0	0	1	0	39	0	0	0	0	0	81	131	0	0	0	0	0	0	0	0	0	79	0	0
Proteobacteria_Alphaproteobacteria_Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	15	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Burkholderiales	25	0	9	3	5	0	4	1	0	18	14	0	9	10	9	2	3	13	4	3	8	42	2	1	2	17	4	0	0	123	80	5	2	62	30	131	3	0	131	12	591	272	0	359	4	6	8	151	2	217	3	28	71	7	25	97	15	0	7	10	182	1	0	33	757	3	20	29	35	74	35	174	35	68	61	7	17	2	27	5	311	0	266	9	48	0	0	1	261	269
Proteobacteria_Betaproteobacteria_Neisseriales	0	0	7	4	10	0	2	0	0	125	0	2	0	0	2	0	0	2	0	0	0	0	51	0	0	0	54	0	0	0	1	6	2	36	53	0	0	0	0	12	0	0	0	3	20	2	0	195	1	0	0	0	14	0	0	0	5	0	0	0	1	0	0	46	1	0	0	1	1	0	125	0	0	1	0	0	263	425	1	0	0	0	2	2	0	3	0	230	0	0
Proteobacteria_Deltaproteobacteria_Bdellovibrionales	0	4	20	3	2	0	0	0	0	0	1	0	0	1	0	0	0	2	3	0	0	1	0	0	1	0	0	0	0	19	0	0	0	0	0	0	8	1	6	0	0	154	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	22	2	3	0	0	2	0	8	13	0	0	12	0	1	0	0	0	0	0	0	0
Proteobacteria_Deltaproteobacteria_Desulfobacterales	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Deltaproteobacteria_Desulfovibrionales	0	6	149	0	77	74	0	0	43	621	6	0	0	41	18	0	1	59	467	24	131	7	0	92	7	288	22	0	26	147	0	0	0	41	405	388	219	0	76	30	79	129	119	135	5	68	26	1	0	74	0	0	113	8	50	214	10	54	222	0	62	1	0	0	19	7	4	0	101	55	216	23	199	3	1	108	7	0	1	2	44	45	387	5	0	305	159	0	56	110
Proteobacteria_Epsilonproteobacteria_Campylobacterales	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	4	0	136	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	1	4	1	0	1	0	0	3	6	0	1	0	0	0	0	0	0	0	8	0	2
Proteobacteria_Gammaproteobacteria_Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_Cardiobacteriales	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_Enterobacteriales	204	446	3325	789	739	300	6738	4364	269	129	31	9	150	26	37	344	35	130	101	243	7	69	148	48	48	522	64	70	83	45	153	1903	46	105	85	1073	6	3251	5	6723	30	6	61	66	79	2583	53	4726	9713	877	3	70	9	70	50	30	631	3499	760	149	40	1948	0	43	4	401	132	425	47	7	75	3	88	1188	36	67	301	279	188	24	42	6	26	1048	84	53	1709	143	88	1554
Proteobacteria_Gammaproteobacteria_Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_Pasteurellales	11	31	0	2081	0	1061	245	4426	1	1	0	0	2	1	2	2	113	7	0	56	0	0	0	2	67	53	0	74	0	1	16	0	0	65	13	0	21	0	1	0	0	8	0	0	352	0	19	2	0	0	1	4	3	2	2	0	3	0	0	0	32	56	25	0	10	0	241	1	0	0	111	0	1	34	106	0	21	0	0	3	0	0	607	114	2	1	1	0	0	1
Proteobacteria_Gammaproteobacteria_Pseudomonadales	11	6	12	40	21	8	23	6	2	141	4	2	34	2	2	10	580	9	0	3	0	5	74	8	3	1	56	4	13	8	2	15	8	27	101	0	15	2	2	19	5	2	0	6	24	4	14	262	17	10	0	8	14	6	3	0	7	4	6	16	1	4	0	71	0	2	8	6	4	0	186	0	28	5	6	0	367	518	1	3	2	1	7	3	4	9	3	266	1	4
Proteobacteria_Gammaproteobacteria_Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
