family	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Bacillaceae_1	0	1	7	2	16	0	0	1	0	137	0	0	6	0	0	0	0	10	0	0	1	0	93	0	0	0	29	1	0	0	0	7	0	22	93	0	0	0	0	28	0	0	0	1	16	1	0	225	1	0	0	0	10	1	2	0	2	0	0	1	0	0	0	34	0	3	0	0	1	1	128	0	6	3	0	1	224	364	2	1	0	1	0	0	1	1	0	219	0	0
Firmicutes_Bacilli_Bacillales_Bacillales_Incertae_Sedis_XI	0	1	0	115	0	0	10	29	7	12	0	0	0	0	2	11	0	0	1	4	0	3	0	0	7	0	6	2	0	1	13	17	0	3	1	0	0	3	0	0	5	1	0	0	11	13	1	0	2	0	0	1	1	0	2	3	0	0	6	8	2	1	1	5	0	0	4	0	2	0	0	1	1	5	1	0	0	0	3	1	1	0	3	2	0	3	0	10	0	1
Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Listeriaceae	0	0	3	0	12	9	0	0	0	106	1	0	0	0	0	0	1	8	0	2	9	0	59	0	0	0	24	1	1	1	20	11	0	23	33	0	0	0	0	8	0	0	0	2	24	2	0	113	0	0	1	0	10	0	4	0	7	1	0	0	0	0	0	27	0	1	4	0	0	0	82	0	0	2	0	6	208	243	0	0	1	0	0	0	0	0	0	150	0	0
Firmicutes_Bacilli_Bacillales_Paenibacillaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	36	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Paenibacillaceae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Planococcaceae	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0
Firmicutes_Bacilli_Bacillales_Staphylococcaceae	0	2	11	8	33	0	2	3	0	215	0	1	11	0	2	4	0	19	0	0	0	0	116	0	1	0	60	1	3	0	1	36	10	69	138	0	0	2	0	28	3	0	0	4	45	2	3	428	0	4	0	0	17	3	0	0	6	3	2	2	1	3	1	82	0	1	2	0	2	0	220	0	1	3	4	2	557	638	0	0	1	0	1	0	0	8	0	442	0	0
Firmicutes_Bacilli_Bacillales_Thermoactinomycetaceae_1	0	26	101	0	58	0	0	0	0	0	66	0	0	13	0	0	0	15	15	15	1	0	0	0	0	1	0	0	0	142	3	0	0	0	0	0	20	0	4	46	0	0	0	0	9	0	5	0	0	0	4	0	0	0	174	0	6	0	0	0	5	0	10	0	0	5	1	0	9	6	0	2	0	0	0	27	1	0	0	0	0	7	0	0	0	15	0	0	0	0
Firmicutes_Bacilli_Bacillales_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Firmicutes_Bacilli_Lactobacillales_Aerococcaceae	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae	2	3	0	59	0	1	1	20	0	12	5	0	3	0	0	3	1	0	0	14	0	4	1	0	5	0	25	4	0	8	0	1	1	4	2	0	0	4	0	0	50	2	6	1	0	16	1	4	7	0	0	21	0	1	0	0	1	0	13	4	0	6	0	8	0	2	4	6	1	2	0	1	0	4	1	0	0	8	2	3	1	3	2	5	6	0	3	46	0	3
Firmicutes_Bacilli_Lactobacillales_Enterococcaceae	0	0	22	28	6	0	13	50	0	55	1	0	0	0	0	1	0	3	0	0	0	2	39	0	0	6	15	63	0	0	0	2	1	12	36	0	0	11	0	22	0	4	0	2	7	8	1	94	36	0	0	1	5	0	0	0	3	0	1	0	0	30	0	35	0	2	0	13	3	0	44	0	0	2	669	0	169	212	0	0	5	0	3	8	0	1	0	80	0	0
Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae	19	14	24	101	12	1	7	277	38	71	3	1	132	0	10	1	3	6	1	16	2	21	24	8	8	0	20	5	12	5	5	7	35	10	26	2	0	66	1	7	38	0	8	15	8	13	28	80	72	50	3	29	34	8	7	2	4	7	19	64	0	1008	1	23	8	2	5	1	6	1	31	0	17	203	7	0	156	134	8	2	0	0	1	26	13	1	0	87	0	6
Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae	0	8	0	31	6	0	5	3	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	138	1	0	0	0	2	1	8	0	1	0	19	4	0	0	0	1	0	0	2	0	0	0	9	0	6	0	2	0	0	13	0	3	10	0	0	0	0	0	0	3	0	0	40	8	1	0	0	0	4
Firmicutes_Bacilli_Lactobacillales_Streptococcaceae	151	664	27	5222	289	319	67	2180	284	176	178	92	1099	204	73	156	129	13	120	258	18	1107	132	40	114	18	442	73	83	289	75	94	1135	244	94	1	4	761	25	69	2043	17	30	45	625	222	494	2638	464	91	4	688	193	78	60	11	91	695	318	175	13	961	101	918	117	38	449	52	674	10	131	363	50	3328	27	69	370	757	103	253	55	144	193	68	94	849	53	529	33	90
Firmicutes_Bacilli_Lactobacillales_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Firmicutes_Bacilli_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1	648	532	1255	140	92	416	499	106	9	492	182	157	160	117	1094	668	104	760	337	1288	486	150	187	13	2	817	108	616	122	169	708	129	6	92	2405	1014	13	199	95	817	25	157	607	33	270	46	353	639	812	28	134	5	626	1340	2240	4	120	12	19	22	246	1022	22	92	1	25	1327	5	24	251	699	71	107	10	1676	404	1591	841	7	5	643	146	171	81	1500	850	276	603	77	23
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_4	0	0	32	0	13	0	0	0	2	0	15	0	0	10	0	0	0	29	5	11	3	20	0	0	0	3	0	5	0	2	5	0	0	5	2	0	7	0	0	2	0	0	6	0	5	0	9	0	0	0	0	0	9	0	27	0	1	0	0	16	2	0	1	0	0	19	15	0	1	6	0	0	0	0	0	43	1	0	0	0	9	16	0	0	0	9	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiales_Incertae_Sedis_XI	0	0	1	1	0	0	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	15	0	8	0	4	70	18	26	1	0	1	0	3	1	1	0	2	0	477	0	3	1	0	1	0	0	2	0	2	0	1	1	0	2	2	125	2	0	0	3	0	2	0	4	4	0	1	0	0	3	0	0	0	3	12	0	2	0	0	2	8	0	1	0	0	3
Firmicutes_Clostridia_Clostridiales_Clostridiales_Incertae_Sedis_XII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiales_Incertae_Sedis_XIII	5	0	22	3	0	0	244	13	2	3	1	1	0	3	50	46	0	18	2	158	25	9	0	2	1	40	2	0	0	2	4	2	0	7	0	0	62	0	0	7	0	2	60	0	7	0	3	0	0	0	0	0	77	46	2	2	7	0	0	13	0	0	6	0	9	2	1	0	4	1	3	8	0	1	2	22	0	110	2	4	4	5	3	6	6	10	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiales_Incertae_Sedis_XIV	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Eubacteriaceae	563	769	382	38	123	96	370	56	79	61	423	162	231	1606	235	47	23	379	781	296	581	346	35	291	209	259	1639	269	229	38	596	2	130	84	23	72	97	155	333	506	12	267	351	31	362	6	148	1	0	62	172	733	325	32	1084	100	636	5	294	653	45	0	263	825	62	284	425	1	236	468	546	236	36	130	775	1110	246	74	176	72	1051	1531	238	70	486	592	57	26	421	282
Firmicutes_Clostridia_Clostridiales_Gracilibacteraceae	3	5	25	0	45	7	1	0	20	0	34	4	6	117	6	0	0	40	12	5	19	3	0	0	2	23	4	0	7	35	15	0	10	15	9	0	34	0	24	19	2	0	101	18	13	0	5	0	0	0	0	1	5	0	77	8	5	0	5	172	8	0	4	4	13	9	31	0	27	14	6	15	0	12	5	11	17	0	0	2	38	24	28	1	3	20	0	0	10	12
Firmicutes_Clostridia_Clostridiales_Incertae_Sedis_XI	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Incertae_sedis	1	0	18	0	4	0	0	0	9	0	14	0	7	7	6	0	0	13	13	2	7	2	0	9	0	5	1	0	0	5	12	0	0	9	0	0	13	0	3	9	0	0	4	0	17	0	7	0	0	2	0	5	1	0	15	8	1	0	11	10	2	0	1	0	0	26	2	0	17	2	0	6	1	0	0	9	15	2	3	10	17	12	0	0	0	23	9	0	19	5
Firmicutes_Clostridia_Clostridiales_Lachnospiraceae	12301	9237	3829	9590	7343	5473	10159	4019	12104	14979	5703	7006	3473	8728	5684	8874	4079	2972	4243	7720	4884	15790	11503	10013	19013	3019	11984	7559	11816	7091	6241	5045	9642	4342	6438	2759	5430	11683	7247	5449	963	5707	1307	6920	6808	8933	11201	4239	5135	10048	5762	17453	3799	12778	9316	6523	3995	3454	9903	2883	3805	6073	6774	17003	2140	5398	9789	6477	3647	4742	4264	7169	11145	8452	9824	3445	7880	13170	7193	9793	7428	11395	4540	13583	8793	6685	2536	14210	3810	4976
Firmicutes_Clostridia_Clostridiales_Peptococcaceae_1	12	12	14	16	1	0	0	0	0	1	0	0	0	0	0	184	0	7	0	5	0	4	1	0	8	1	4	3	2	1	1	7	5	1	0	17	1	2	2	0	6	0	0	0	9	2	0	10	7	4	18	1	0	15	0	0	115	2	5	46	1	2	0	0	0	1	5	0	2	0	1	0	5	0	0	0	141	2	0	0	1	0	4	9	0	6	0	0	0	1
Firmicutes_Clostridia_Clostridiales_Peptococcaceae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae	434	59	5	7	289	646	556	1081	675	1408	85	136	1	349	2069	1070	91	311	3	306	1668	753	21	14	20	51	118	3981	34	81	329	38	0	97	83	354	72	212	127	378	5	311	90	36	6	1864	711	1418	3813	910	5	151	858	198	1214	11	90	16	696	55	248	1412	68	3	4	222	2482	121	99	6	401	0	15	41	2590	14	1	1	140	6	432	259	125	34	4749	15	400	558	254	243
Firmicutes_Clostridia_Clostridiales_Ruminococcaceae	4476	5375	5160	3516	4412	4224	2494	2640	4197	2618	2125	3900	1847	5447	5884	1243	2700	5840	3277	4790	3999	3275	827	5835	1408	3497	4928	2634	4461	3763	4243	4410	4700	6754	7805	4916	4152	4700	4031	3292	1134	6023	1705	2204	4144	5480	4014	4407	442	2773	3676	1477	4760	3670	3940	1796	2669	1210	3084	5889	5053	1204	5543	2346	4385	3515	2742	348	3773	3610	4185	5890	6415	2560	3954	5658	6070	1476	2546	8299	4365	3886	4600	4586	3331	7929	3589	4191	2159	1789
Firmicutes_Clostridia_Clostridiales_Syntrophomonadaceae	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_Clostridiales_unassigned	16	19	87	46	114	1006	5	293	34	68	126	12	48	81	382	7	1998	1023	707	15	457	31	8	10	20	161	73	6	57	32	133	61	36	137	10	44	46	35	53	24	1	39	34	67	41	29	253	57	4	19	30	10	38	4	501	17	274	44	20	148	668	2	225	28	11	27	661	4	43	45	1731	142	2	29	1325	126	110	33	9	18	1206	601	12	2	12	45	6	89	10	23
Firmicutes_Clostridia_Natranaerobiales_Natranaerobiaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0
Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_unassigned_unassigned	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	181	11	0	12	0	0	0	0	2	0	0	0	26	3	0	0	4	0	1	1	0	0	6	0	7	0	1	3	0	1	0	0	0	0	0	1	0	118	0	3	0	0	0	19	0	0	0	0	17	12	0	38	7	6	0	0	1	1	37	4	1	0	0	191	25	1	0	0	4	0	0	1	0
Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae	224	344	169	185	295	574	571	512	114	293	280	49	103	442	309	1688	181	417	400	257	197	137	37	140	151	232	440	31	371	139	77	199	82	164	284	45	200	135	272	177	160	31	103	186	91	100	98	287	1259	230	26	86	334	553	367	31	165	37	924	52	300	193	161	622	118	172	812	178	386	418	140	291	564	2266	116	684	121	445	138	265	60	1332	346	843	1094	462	414	311	45	57
Firmicutes_Incertae_sedis_Incertae_sedis_Incertae_sedis	0	1	26	0	45	1	0	0	1	0	5	0	0	24	2	0	1	12	16	0	15	0	1	1	0	6	0	1	6	18	0	3	0	12	0	0	11	0	4	20	3	0	8	0	12	0	4	0	0	0	0	0	1	0	8	3	0	0	0	4	0	2	0	0	0	0	1	0	8	9	1	0	0	0	2	15	6	0	0	1	22	1	0	0	0	37	0	0	0	0
Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae	1	454	3	165	9	1	24	3	29	34	35	27	81	19	83	1950	2	2046	11	881	1997	519	13	316	74	1245	18	1	8	17	838	1183	6	797	1075	1419	369	1611	3	2693	803	1393	306	2099	98	1	1013	8	1	11	2290	5	388	201	113	2190	460	3	88	0	4	2	0	12	0	1240	35	1	709	738	1224	196	282	19	0	201	22	66	449	78	727	80	385	62	8	2234	1372	47	3016	2555
Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae	1486	24	794	149	1	2433	51	471	2736	2	7	2	3	89	5	121	491	5	265	139	891	3	400	12	118	17	318	4333	1603	9	219	1	1478	196	4	13	31	211	285	703	8099	4	777	5	32	40	255	11	182	2	9	1088	45	763	4	2	30	0	1708	64	846	582	390	549	1316	14	78	245	31	2	90	2	10	619	444	8	14	0	1263	41	13	5	374	631	200	280	1	1	5	824
Firmicutes_unassigned_unassigned_unassigned	0	1	50	0	20	6	0	0	1	0	18	0	0	97	63	1	98	119	171	166	41	0	0	1	0	47	0	0	39	182	23	1	62	172	110	40	139	0	0	2	0	0	15	0	145	0	22	1	3	0	1	0	96	134	34	0	45	0	0	11	55	0	9	148	0	1	120	0	9	56	101	166	3	5	53	151	117	0	0	236	145	93	54	93	19	35	1	0	0	47
Fusobacteria_Fusobacteria_Fusobacteriales_Fusobacteriaceae	0	0	0	0	0	0	0	29	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	4	3	3	6	10	4	7	2	402	40	0	0	59	8953	2	503	3	9	1	3	62	0	1	0	0	1	16	6	1	2	14060	13	23	0	0	2	0	1	1	2	0	0	0	0	0	44	2	0	0	0	7	1	0	0	0	0	0	0	0	381	1	0	0
Fusobacteria_Fusobacteria_Fusobacteriales_Leptotrichiaceae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Lentisphaerae_Lentisphaeria_Victivallales_Victivallaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetes_Planctomycetacia_Planctomycetales_Planctomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_Kiloniellales_Kiloniellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	14	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	14	77	0	0	153	0	5	35	63	0	0	0	0	594	0
Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae	18	520	6	1	1013	17	81	34	0	5	92	1	81	125	89	209	29	1031	177	0	494	14	99	188	394	77	0	405	60	24	522	306	3	58	83	42	102	313	153	115	0	319	23	204	1	2	436	0	1	1	46	1	128	108	221	0	235	0	493	21	208	14	373	1	44	232	252	2	4	48	65	65	413	434	276	64	404	17	0	334	245	313	199	429	467	0	0	26	1269	130
Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae	0	6	3	0	5	0	0	0	0	47	0	0	0	0	0	0	0	3	0	0	0	0	25	0	0	0	5	0	0	0	0	2	0	10	16	0	0	0	0	2	0	0	0	0	12	0	0	64	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	15	0	0	0	0	1	0	39	0	0	0	0	0	81	131	0	0	0	0	0	0	0	0	0	79	0	0
Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	15	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Burkholderiales_Alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
