family	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria_Actinobacteria_Actinomycetales_Propionibacteriaceae	0	0	1	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	16	14	0	0	0	0	0	0	0	0	0	4	0	0
Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria_Actinobacteria_Actinomycetales_unassigned	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae	2	8	4	6	3	412	0	64	3099	1066	293	0	1	90	25	1	1181	358	125	6	1946	0	1	168	828	40	1	2075	2	19	439	0	5	186	0	122	1	92	274	39	1	79	23	240	2	184	116	1449	911	1005	13	631	81	333	278	601	134	180	2689	0	219	4798	1	2	8	3	62	4385	1263	84	92	0	8	440	0	3	384	2	532	65	152	0	18	232	275	1942	37	4	254	716
Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae	1096	61	106	42	1562	246	108	38	106	409	1241	366	292	874	1274	1294	1633	632	472	874	1223	1894	957	981	458	165	41	340	13	25	574	346	1145	124	268	126	110	123	240	221	292	9	11	270	286	94	868	152	20	45	163	803	215	633	1710	582	129	658	1409	353	3367	1	50	1135	0	104	290	4	755	214	80	411	267	33	18	444	138	665	42	107	718	711	306	671	102	594	12	50	216	757
Actinobacteria_Actinobacteria_Solirubrobacterales_Conexibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae	2415	3779	2294	608	790	3955	1056	766	245	679	3619	6584	12918	796	3994	3275	6847	1646	1299	642	1458	417	9467	4116	653	1866	237	633	2819	4641	4469	9960	3963	8456	3613	2854	1033	1097	6320	672	1047	5032	6117	5494	2797	4723	2584	2188	1513	3173	3860	846	7113	1363	805	6965	1966	846	1463	7084	5869	5535	6636	324	8772	7243	1612	12491	6531	4480	6807	5039	3389	4127	874	2237	1092	2178	9966	1997	890	1488	10899	1717	2020	1065	9184	1482	7721	8288
Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidales_incertae_sedis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae	379	740	510	1538	252	1457	156	490	257	477	135	1730	2213	306	1208	527	165	245	144	1100	396	211	297	1670	276	491	301	159	261	1934	687	166	160	217	301	1046	4081	157	2431	124	310	2571	7522	194	825	420	716	464	403	287	359	364	881	605	449	1360	1030	134	332	1290	786	98	23	235	2537	715	472	122	1136	1769	954	1879	994	129	277	953	1546	560	786	188	1073	139	112	281	839	174	1103	474	163	1283
