order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Thalassiosirales	0	2	1	17	18	2	6	9	0	1	35	49	3	10	5	10	0	4	9	0	3	4	28	25	13
Thermales	0	0	0	0	1	0	0	2	2	0	0	3	0	3	4	0	46	0	2	1	6	10	78	2	0
Thermoanaerobacterales	0	4	1	313	507	116	5	2	0	0	4	12	101	0	30	1	0	0	0	2	0	2	122	1	0
Thermodesulfobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thermotogales	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1
Thiotrichales	0	3	1	0	2	2	22264	7	249	1203	4326	12592	2	5	25299	0	13	3	0	0	76	6	7	104	0
Tissierellales	2	0	1	151	40	34	0	39	0	0	0	3	1	3	1	0	4	0	2	37	1	2	553	0	0
Tremellales	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Unclassified	10	12	5	46	376	58	5	43	6	22	7	19	26	4	44	12	9	7	11	5	25	78	129	26	37
Ustilaginales	0	9	5	0	0	4	4	5	6	5	2	2	7	2	1	10	7	1	6	0	3	3	9	5	13
Vaucheriales	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobiales	0	0	0	2895	0	0	205	168	0	61	0	579	0	0	0	0	0	21	43	3	50	0	2056	0	0
Vibrionales	0	0	8	2	179	37	13	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	5	1	0
Xanthomonadales	9	23	9	7	18	67	15	28	28	15	38	33	21	14	609	16	33	128	12	72	25	65	22	64	49
