OTU	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
otu41	0	3	25	1	0	0	208	0	0	1	2	210	1	0	0	2	2	2	73	0	1	0	0	1	16	38	0	1	3	62	2	0	3	2388	1	350	0	14	1	53	21	2	1379	0	0	2	86	1	0	97	0	7	196	772	1	990	37	61	62	0	0	160	1	5	853	2	1	0	4	319	81	2	1	7	425	85	18	75	0	0	0	200	2	0	350	98	5128	0	0	0
otu42	823	1094	906	113	186	911	72	66	4	35	384	130	3308	961	980	1263	2242	291	160	6	468	4	1349	21	37	641	15	36	8	1564	2108	1275	4	223	1201	332	66	28	2689	54	24	505	741	415	1	2	844	58	16	104	568	109	99	1647	203	1503	25	7	55	651	3	3243	17	8	719	2782	800	0	1646	1777	2761	5	409	400	1331	322	149	545	1329	863	257	306	120	4899	390	273	1198	6	294	502
otu43	125	666	5	68	67	2	39	172	0	219	149	60	1163	3228	133	6	8	16	102	1	573	1	1915	1026	423	398	119	4	8	295	2847	559	18	7	1124	713	169	671	289	229	885	36	1213	1440	3747	13	406	1968	98	2764	1023	448	390	1240	258	660	626	627	371	495	2	1492	768	63	4796	1466	304	5	1625	1819	103	0	739	323	6	82	406	691	952	5	5	0	2	3367	615	286	1098	231	2156	3
otu44	0	51	462	48	1	904	47	2	1	49	2494	10	2	1	252	40	2952	5	29	53	82	1	0	704	36	35	0	1	4	423	48	39	1	1	418	16	193	72	525	1	1	1	5	2	0	473	2	0	1	0	0	13	77	164	58	0	79	5	1	646	210	215	117	83	44	1155	7	1496	29	1	35	48	123	121	131	7	24	0	237	0	0	22	0	68	75	38	557	1	3318	39
otu45	146	0	244	0	126	0	3	83	2	4	0	0	0	230	189	3	45	19	33	0	79	0	0	4	0	75	1	50	1	745	0	211	0	0	51	20	2	34	0	27	1	0	781	1	0	0	73	0	0	0	0	0	13	0	0	0	540	0	1	2	0	0	0	0	0	1	165	0	715	306	0	1	171	130	0	16	184	107	499	0	720	80	41	1	1	25	1	0	0	1
otu46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu47	0	1	0	1	0	121	0	0	2175	1014	1	0	0	0	24	1	18	92	0	0	1600	0	0	0	73	11	0	0	0	0	81	319	0	0	0	113	0	0	0	0	0	1	0	0	235	0	96	0	1	1	3	0	274	58	36	569	0	170	1378	0	0	138	3	1	0	1	0	4287	640	75	86	0	0	0	1	0	0	0	0	0	1	0	2	0	2	2	0	3	0	0
otu48	0	0	7	0	0	0	0	0	562	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
otu49	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	15	0	115	0	0	59	0	0	0	0	0	0	69	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	193	0
otu50	0	0	0	1	0	276	0	0	314	35	273	84	0	0	0	0	125	143	2	0	257	0	116	0	244	11	0	1927	2	0	45	114	0	0	0	6	1	0	268	38	0	1	77	0	0	182	16	801	856	987	1	593	44	20	207	20	44	3	603	0	0	75	823	0	3	0	59	4	582	7	4	0	0	8	133	1	81	1	0	64	120	0	126	0	267	777	25	0	59	281
otu51	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1031	1	120	0	52	0	52	1	246	1	1	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	628	0	0	0	0	11	0	26	0	88	0	116	0	0	1	3891	1	5	2	0	1	1	0	0	0	0	0	204	1	300	0	514	0	1	0	102	0	1	1127	0	1	0	412
otu52	4	0	0	0	0	0	0	64	0	0	12	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	23	0	1	0	0	0	0	3	0	0	0	39	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	1	18	0	1	10	0	0	0
otu53	62	0	0	0	76	72	0	0	43	619	6	2	0	0	9	0	1	30	16	24	59	7	92	0	7	56	3	0	26	8	5	0	0	0	401	14	18	0	0	29	79	5	87	111	130	68	15	0	0	74	0	0	8	113	2	55	10	53	0	0	0	61	1	0	16	0	2	0	21	46	83	1	16	81	1	0	4	0	0	2	44	14	5	387	0	299	159	0	56	110
otu54	190	339	47	1124	496	336	852	262	1089	68	431	1132	5	417	166	59	531	157	158	1415	53	595	326	513	471	164	6	183	667	1142	362	1551	898	1001	889	362	373	148	986	262	6	1098	165	0	194	2	408	2	3	58	172	519	2413	95	352	695	134	41	159	279	196	308	2	399	26	127	536	6	168	58	348	137	134	228	519	178	265	927	222	543	443	264	251	81	191	131	97	200	277	879
otu55	4	2	51	364	1	1	0	1	203	511	77	29	80	0	1	2	0	0	0	1	1	55	5	1	2	0	505	1	259	2	0	2	7	68	89	0	1	27	5	9	7	1	0	2	25	474	2	0	117	79	6	49	10	0	26	30	1	67	21	39	0	3	0	77	3	1	0	22	7	0	0	1	0	2	31	4	3	9	14	1	0	3	4	1	0	1	1	56	5	2
otu56	0	873	310	27	78	0	58	0	11	289	1	9	13	0	0	280	0	0	100	9	0	419	2	40	0	1	689	2	38	0	48	0	414	24	7	0	94	54	440	112	0	1	26	1	6	152	389	57	10	3	2	78	329	12	11	52	3	5	127	65	0	13	0	88	3	155	0	410	3	0	1	56	168	1552	306	13	2	1101	3	0	1	0	1218	1	7	73	35	5	11	8
otu57	247	801	336	416	472	242	333	280	11	915	1165	1332	264	5	195	1584	349	200	147	224	340	792	1539	10	2161	147	3	1114	1139	308	278	199	204	500	13	31	231	2978	347	95	1	191	224	7	2	640	644	349	2	621	104	1491	1069	147	1085	4	464	3	527	10	235	319	884	111	63	738	304	5	333	193	81	142	344	638	243	167	1052	826	520	759	268	671	1088	322	1448	43	0	577	672	568
otu58	1	2	0	3	0	1	0	1	0	1	2	1	1	1	1	1	28	1	0	1	0	0	2	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	62	0	0	0	0	0	0	2	0	1	1	0	0	3	0	178	0	1
otu59	394	969	59	691	625	620	1018	196	104	176	141	191	365	177	610	265	717	143	107	206	66	230	757	423	1731	39	18	247	226	169	45	241	118	221	14	89	63	71	80	216	13	20	111	12	129	814	465	18	34	135	75	5	352	82	1943	19	486	548	410	1259	240	283	45	574	6	219	401	1	29	73	92	40	674	185	234	320	252	192	157	918	95	751	666	56	281	114	1	2085	160	125
otu60	93	1747	2823	3875	1624	132	1905	1539	5145	4207	509	1182	1568	1180	1871	1952	269	101	312	1524	1193	4371	2901	9046	6358	131	5964	1447	3022	1155	525	364	777	3733	2209	43	822	2177	965	754	99	770	948	3	463	578	793	872	2894	4006	275	6182	1629	204	413	2566	155	443	1954	165	699	318	1011	8707	253	1074	629	3468	441	1226	229	284	653	4355	2978	211	3062	3900	2839	2035	719	646	2762	689	830	1186	54	3464	246	286
otu61	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	3	1	0	0	9	0	0	0	0	0	0	0	11	0	0	9	0	2	0	0	254	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	168	30	0	0	0
otu62	0	0	0	0	6	0	9	0	0	0	0	18	0	130	20	1	1	2	4	9	1	0	0	4	0	5	1	0	10	85	57	8	0	3	0	0	17	14	0	0	0	1	41	0	0	0	5	0	0	0	0	0	1	20	0	0	40	0	0	0	0	6	0	1	0	0	10	0	127	84	0	0	8	35	0	50	4	6	0	20	0	7	0	10	1	3	74	0	121	0
otu63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu64	0	0	0	0	0	0	0	1	0	58	0	0	0	0	109	0	0	49	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	268	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	24	0	0	46	0	885	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2219	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
otu65	0	0	0	419	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0	0	0	0	6705	1	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	24	1	0
otu66	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	17	1	0	0	0	0	0	212	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	62	0	0	0	0	0	8	0	0	0	0	0	0	0	0
otu67	10	0	5	11	60	0	3	1	0	380	0	0	1	1	0	9	1	25	0	0	0	0	0	176	0	0	56	0	5	0	77	1	31	4	139	0	1	1	0	41	0	58	1	0	6	4	1	592	1	1	0	1	0	26	0	0	7	0	0	0	0	0	0	87	0	0	0	1	2	1	247	3	1	4	1	1	679	809	2	0	3	0	0	0	2	0	0	543	0	0
otu68	0	0	3	0	0	0	0	0	9	49	0	39	1	0	0	0	0	0	0	0	0	2	1	0	0	1	1	4	30	5	2	0	1	3	91	0	1	0	1	1	0	1	3	0	0	0	4	6	2	0	8	2	8	2	3	3	11	1	0	27	12	0	5	0	0	3	1	0	27	3	3	0	1	0	0	0	0	46	0	1	4	0	3	1	0	0	1	0	1	0
otu69	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	218	1	0	1	0	0	0	0	0	33	1	1	0	0	2	0	0	2	0	0	26	3	1	0	0	0	6	5	2	0	0	0	0	0	1	3	0	2	0	0	0	0	1	0	4	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	23	0	0	0
otu70	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
otu71	9	1	116	0	12	1	0	0	46	1413	2	15	27	0	0	57	47	1	5	21	0	108	45	1	10	0	14	1	129	0	9	0	125	45	118	3	7	14	15	17	44	3	10	10	91	4	10	71	0	161	0	47	0	0	5	7	0	5	13	0	11	8	1	44	12	7	0	0	1	0	11	6	1	25	26	6	0	36	4	0	2	0	4	20	0	12	0	2	3	8
otu72	37	0	14	0	0	1	1	0	0	87	29	0	112	0	0	2	0	0	0	74	11	0	0	0	0	0	3	0	293	0	0	0	1	11	26	2	0	218	4	39	1	30	2	3	14	1	0	0	2	53	5	140	17	2	34	2	1	60	4	38	13	32	1	150	78	2	3	7	27	0	2	10	1	0	0	0	0	2	178	0	0	3	7	0	0	3	5	0	36	36
otu73	0	211	5	0	288	14	547	1	253	2	6	78	55	1	2	89	1	13	2	37	983	156	4	15	0	11	23	89	22	2	5	43	9	0	5	224	0	1	34	372	1	0	1	37	0	1526	321	1408	2106	482	3	132	1	534	147	2	25	1	129	0	0	16	177	3	4	81	1046	102	1	1	44	932	0	1	32	0	1	0	18	1	27	54	6	81	1705	13	255	1	105	13
otu74	2	0	0	31	0	0	5	0	4	428	1	0	9	5	0	4	1	0	1	10	0	3	2	1	2	1	34	2	5	0	4	0	79	8	7	5	7	61	11	1	42	4	1	27	9	8	2	0	25	2	26	13	0	4	7	14	4	10	13	8	10	5	0	6	5	4	0	30	5	0	2	0	0	2	0	0	0	0	21	0	2	0	1	0	0	11	81	7	10	87
otu75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
otu76	24	576	426	0	0	2	8	0	0	19	143	91	30	2	961	581	11	265	0	216	293	19	2	1	0	61	47	289	2	4	1	18	6	0	1927	794	2	6	1	536	1	12	1	22	1	30	81	9	744	8	0	1	4	153	1115	0	22	2	1	20	1	42	702	1	0	11	1106	0	0	148	123	362	0	2	3	2	584	0	4	0	15	58	35	4	894	3	172	0	2	1
otu77	1	34	8	0	2	1	1	0	0	0	8	6	3	0	50	35	0	12	0	7	33	1	0	1	0	7	0	17	0	0	0	1	0	0	107	62	0	0	0	43	0	0	0	2	0	3	3	1	57	1	0	0	1	9	78	0	3	0	0	0	0	0	44	0	0	1	73	0	0	5	11	57	0	0	0	0	19	0	0	0	1	4	2	0	40	0	6	0	0	0
otu78	0	0	0	0	0	0	1	86	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0
otu79	0	16	2	0	0	5	1	0	0	1281	0	0	0	0	0	333	0	126	0	0	96	0	0	0	0	7	1	0	2	2	0	8	0	0	0	0	0	1	0	0	0	0	0	2	0	32	0	0	0	3	0	1	5	28	466	0	18	0	0	0	1	0	0	0	0	0	916	0	2	0	104	1583	0	0	1	0	0	0	0	3	0	124	0	1	5	1	116	1	0	4
otu80	1	97	4	0	91	33	3	18	64	304	2	0	75	0	0	19	0	0	1	1	1	37	0	0	73	0	1	0	29	1	2	1	0	15	16	2	1	0	5	24	0	2	8	0	0	297	26	31	0	1	0	170	0	6	37	4	0	0	106	0	0	0	43	221	0	2	1	43	0	2	0	0	0	12	15	1	0	90	64	1	2	12	3	18	30	117	0	0	6	12
otu81	14	8	9	5	0	2	19	3	0	44	1	1	4	289	4	201	0	79	18	3	14	6	14	21	2	58	6	4	3	4	23	1	140	0	58	26	13	16	55	19	16	11	32	53	0	0	51	1	21	13	0	1	14	3	0	10	15	2	12	0	197	2	1	5	5	12	3	3	1	133	16	0	22	60	37	6	6	8	3	3	8	3	19	39	2	6	36	6	12	180
otu82	0	12	0	2	0	18	0	0	0	0	18	15	0	0	199	0	5	2	19	1	9	10	11	0	0	577	0	7	3	141	8	13	4	11	5	5	491	3	10	16	1	751	16	3	5	0	53	0	0	0	2	2	9	37	2	109	179	0	4	1	378	1	0	2	7	4	79	0	0	106	2	15	98	34	0	1	172	6	0	4	158	17	21	113	36	123	29	1	73	0
otu83	10	4	131	144	210	0	0	1	0	9	111	61	1	0	0	7	2	0	1	1	0	218	3	36	1	0	301	7	44	8	0	0	3	30	104	0	126	1	0	0	74	4	0	0	0	1003	0	296	7	0	6	147	0	1	404	56	1	493	18	23	0	11	0	656	17	0	60	650	0	0	0	1	0	0	5	22	0	705	168	0	0	1	1	0	0	6	2	0	137	94
otu84	0	54	0	7	0	0	0	0	4	18	1	2	382	10	1	0	0	0	0	237	0	0	33	0	0	0	0	0	1	9	0	0	337	113	189	3	0	384	87	0	1	0	3	416	195	3	0	0	0	292	3	0	8	0	38	1	2	50	0	67	0	15	0	45	26	23	0	0	29	0	0	0	0	0	80	0	0	76	0	26	0	0	1	0	0	1	0	221	1	128
otu85	2	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1	0	1425	0	0	3	0	0	0	0	0	0	0	182	0	1	12	18	1	141	0	134	0	37	113	0	3	0	0	2	3	13	0	3	1	5	0	0	5	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	777	0	151
otu86	0	0	0	0	0	0	420	100	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	61	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
otu87	11	1	13	159	0	0	0	4	47	0	1	3	15	0	0	57	0	0	0	14	0	13	8	15	86	0	198	0	3	104	0	0	79	22	0	0	0	27	0	1	152	0	0	20	1	69	0	6	37	18	11	21	0	0	15	15	0	6	1	5	0	0	2	8	29	0	0	134	0	0	0	0	0	0	1	0	3	1	16	3	0	2	0	0	6	4	384	163	11	25
otu88	5	206	52	0	1	610	2	967	420	119	76	270	80	0	2047	641	90	171	1	262	577	591	8	6	19	31	73	3869	10	77	91	272	20	0	68	129	24	205	90	6	4	6	300	20	36	301	390	2	1689	417	1	17	192	288	594	9	47	15	552	13	66	229	1228	0	0	136	490	19	96	4	247	65	0	14	7	14	0	1	122	2	398	77	26	31	3023	1	24	556	148	224
otu89	0	0	0	2	0	13	0	15	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	1	0	0	0	14	4	0	0	93	12	17	0	22	0	0	0	0	0	0	0	1	0	0
otu90	29	33	3	0	5	0	3	0	53	4	1	0	54	4	0	0	0	0	0	14	0	0	0	0	3	0	323	0	3	2	1	0	10	5	1	0	6	161	0	0	3	28	0	52	4	46	1	0	0	0	0	161	0	0	28	15	24	35	90	82	5	0	4	38	72	3	0	1	2	0	0	0	0	9	1	0	9	2	1	0	0	0	0	0	3	1	18	0	16	59
otu91	0	4	1	0	33	0	17	0	6	0	0	30	0	6	0	0	1	0	2	2	6	71	11	0	47	0	0	0	9	1	5	0	5	0	0	1	0	0	0	19	0	0	0	0	0	0	2	1	0	9	4	25	23	0	30	0	0	0	17	3	7	4	0	2	72	25	41	5	32	0	1	0	0	0	12	33	0	0	1	0	4	9	42	1	40	19	1	112	28	12
otu92	0	6	9	0	0	23	0	9	5	0	38	30	78	0	2	0	0	8	4	337	29	3	22	2	5	3	2	5	1	691	14	9	5	15	8	36	16	28	2	82	1	8	271	0	11	0	79	0	2	0	1308	11	45	79	56	120	85	0	8	2	1273	6	0	1	2	1	267	0	14	249	357	1	382	8	6	9	70	25	27	233	128	30	12	129	12	47	0	3	198	63
otu93	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	3	0	2	0	0	0	8	0	10	59	0	0	7	0	1	79	3	0	0	0	3	8	14	3	0	0	3	3	0	1	7	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	12	3	0	32
otu94	0	1033	2	0	0	0	0	0	3	165	1120	624	188	79	1001	829	104	520	337	745	1107	1791	927	2	426	100	0	254	2	0	72	375	289	1085	255	68	0	1	211	81	282	134	0	0	1	0	748	0	0	0	0	749	585	108	1199	481	21	623	1371	210	0	3297	0	878	0	1	113	0	410	91	5	2	123	78	18	275	106	555	0	0	392	147	653	95	21	429	2	2	1	719
otu95	0	3	0	0	0	0	0	0	0	165	0	22	0	0	0	0	0	0	2	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	150	0	0	149	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu96	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0
otu97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu98	0	34	24	0	104	15	52	1	0	3	0	1	0	0	23	12	0	34	10	10	32	263	0	0	40	5	0	48	0	31	25	0	0	0	0	6	22	88	53	0	7	0	17	18	9	0	184	0	1	10	0	0	39	80	74	40	8	0	0	164	30	21	71	0	0	0	55	0	0	17	21	25	29	27	18	34	20	0	19	0	37	143	45	11	141	0	0	0	0	0
otu99	16	220	34	1	0	78	277	88	2	4	417	2	1	2	113	64	16	42	42	1204	147	1823	82	1	0	90	0	386	26	37	121	204	195	0	0	36	146	690	0	161	1	83	146	3	63	117	204	0	2	231	1	497	207	433	2	336	36	0	955	0	178	246	117	124	80	205	143	1	304	107	40	36	100	76	2	23	2	275	6	234	210	135	417	153	652	121	86	754	0	967
otu100	0	0	0	0	0	0	0	0	0	1	30	1	1	0	171	0	0	176	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	107	1	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	1	67	0	452	0	0	1	163	135	0	1	0	0	787	0	1	1	0	0	0	0	0	0	0	0	0	0	79	4	0	0	21	21	0	0	0	1
otu101	13	0	4	9	42	0	1	0	0	258	0	0	0	1	0	8	0	27	0	0	0	0	0	91	0	0	49	0	1	0	40	1	17	2	99	0	0	0	0	14	1	35	0	0	5	3	0	356	2	0	0	0	0	14	0	0	7	0	0	0	0	0	0	95	0	0	1	0	2	0	152	0	0	1	4	0	345	733	0	0	0	0	0	0	0	2	0	327	0	0
otu102	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	65	0	0	0	0	0	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu103	81	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	2	0	0	0	0	0	54	2	0	0	0	0	0	0	0	0	5	0	0	0	0
otu104	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	7	0	71	0	0	0	0	2	0	0	0	1	36	0	0	0	0	5	7	0	0	0	0	0	29	0	0	0	10	0	0	0	0	0	0	0	48	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	33	0	0	0	0	0	31	0	0	0	0	0	0	0	0
otu105	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	71	19	0	0	69	0	0	0	0	0	350	184	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu106	780	656	1	4	0	2334	45	4	331	1	1	3	0	1	0	1	1	1	0	0	0	1	1	384	0	1	306	3628	308	1	0	177	0	0	0	2	1	0	270	0	1	0	0	0	0	2	0	1	2	0	1	1079	0	0	0	0	0	0	383	20	282	817	2	548	1223	2	1	111	2	1	1	1	0	0	518	3	1	0	0	0	0	0	617	0	195	0	0	1	1	818
otu107	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	29	0	0	0	3	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
