class	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Bacteria|p__Acidobacteria|c__Solibacteres	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	6	2	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	2	1	0	3	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria	679	519	3115	894	2679	1048	2682	9801	706	520	1288	501	1137	840	669	5281	802	288	701	2623	879	1303	307	21631	5998	991	1987	1223	3636	768	3665	1221	364	3366	1922	11171	455	963	425	2024	3647	3750	3239	2130	482	561	4585	16177	1636	301	1837	808	1439	1343	1426	1264	578	752	3476	350	797	2553	3146	77603	947	1995	436	1012	378	1028	7240	5592	783	5493	418	1475	533	3820	3940	292	328	7173	761	324	1022	862	1179	1146	5075
d__Bacteria|p__Aquificae|c__Aquificae	0	3	2	2	0	0	2	1	4	4	1	2	3	0	0	1	1	2	1	2	0	0	4	1	1	2	0	0	1	0	1	0	3	1	0	2	0	0	0	0	0	1	3	0	1	3	6	0	0	2	0	0	1	1	1	5	2	0	0	1	1	2	0	0	3	2	1	1	3	1	0	3	0	1	2	2	1	1	0	2	1	0	3	0	2	3	0	1	5
d__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia	105856	100122	100099	162709	231032	121511	101994	115559	200195	114672	80645	72377	79865	145933	138554	80612	96401	182764	69371	69692	73164	38983	64042	71421	156974	82433	140839	57769	283180	239319	186726	115019	151615	108356	115015	81160	341215	63964	121544	300912	183517	25225	42705	2401	68782	44269	56509	191491	291548	35177	285230	292302	229902	264063	185944	66608	338187	110598	43388	41035	55084	7891	37060	112209	73147	207637	289310	120441	80529	160544	157984	132461	31215	136206	55207	62730	75171	93257	272972	133380	24784	85562	39588	125963	114965	197286	194761	18653	41104
d__Bacteria|p__Bacteroidetes|c__Cytophagia	11	14	9	19	3	20	10	7	18	8	18	8	12	8	11	6	11	22	10	8	8	21	10	8	13	11	6	14	0	14	10	15	25	4	9	16	3	16	9	12	7	12	8	0	14	6	19	15	8	8	13	12	22	4	11	14	13	8	39	9	10	11	10	7	13	15	12	20	25	9	14	2	6	15	6	11	25	18	4	14	8	14	23	16	8	10	7	17	11
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia	14	23	39	14	9	46	13	143	32	125	44	19	36	64	31	8	48	58	12	16	21	63	49	5	8	44	8	35	5	13	14	27	42	40	12	33	28	32	16	54	10	9	33	10	15	59	31	15	6	18	16	33	23	8	24	27	19	34	22	24	16	8	18	13	21	23	39	25	42	24	19	11	13	13	15	40	67	26	14	34	35	18	18	14	21	29	19	22	36
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	8	11	3	16	5	7	7	3	6	11	3	17	4	8	5	6	9	9	17	12	23	24	6	11	6	7	14	10	2	16	6	18	4	9	11	18	10	16	5	2	6	4	15	1	20	15	7	12	7	11	8	4	16	5	11	5	5	12	60	6	5	2	4	5	8	13	15	12	18	4	8	0	14	3	9	3	8	4	9	9	13	18	12	18	3	13	4	17	22
d__Bacteria|p__Caldiserica|c__Caldisericia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	6	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	1	0	0	2	0	0	2
d__Bacteria|p__Chlamydiae|c__Chlamydiia	1	0	3	2	0	2	2	1	0	0	0	3	1	2	3	1	1	3	0	1	0	2	0	1	0	0	0	4	2	0	0	2	0	0	0	2	0	0	1	3	0	3	0	1	4	0	3	0	0	0	0	0	0	1	1	1	1	0	3	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	3	0	0	3	0	1	4	0	7	0	1	2	0	0	6
d__Bacteria|p__Chlorobi|c__Chlorobia	5	10	2	7	7	7	3	8	3	4	8	10	10	11	6	8	6	6	6	2	5	13	3	4	4	12	7	16	7	10	2	7	5	10	3	3	12	11	4	3	1	8	3	4	3	2	11	14	2	6	6	6	4	1	4	4	4	3	8	7	4	13	8	13	12	8	3	6	13	4	3	5	13	4	8	3	9	13	2	5	2	5	6	6	5	2	7	9	11
d__Bacteria|p__Chloroflexi|c__Anaerolineae	0	1	0	0	0	0	1	0	3	0	2	1	0	1	0	2	1	3	1	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Caldilineae	1	1	2	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	1	2	1	2	0	0	1	2	2	1	2	0	0	1	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	3	0	0	2	2	1	1	0	0	0	1	1	0	2	0	1	0	1	0	2
d__Bacteria|p__Chloroflexi|c__Chloroflexia	0	3	2	4	3	1	3	0	0	0	3	0	2	2	1	3	1	0	3	0	0	5	0	2	2	0	1	0	1	4	2	2	0	1	4	0	0	3	0	0	3	3	1	0	4	2	2	1	2	2	0	0	2	0	0	0	2	0	4	1	1	1	1	1	0	0	0	1	1	0	0	2	2	0	1	0	1	2	0	1	1	0	5	1	1	0	0	6	1
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia	1	1	0	1	0	5	4	1	0	0	4	4	1	3	8	0	2	5	0	3	1	4	9	0	0	2	0	1	0	0	0	1	6	1	21	3	1	3	2	1	0	1	0	0	4	6	3	0	7	1	3	1	0	2	0	4	0	1	3	4	2	20	2	10	3	0	0	1	0	1	2	1	4	5	2	1	1	0	0	3	1	4	1	0	1	0	4	1	0
d__Bacteria|p__Chloroflexi|c__Thermomicrobia	0	0	1	0	0	0	3	1	1	0	1	1	1	0	0	0	1	0	0	1	0	3	0	1	4	0	0	2	1	0	0	0	1	0	0	4	0	0	0	1	1	2	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	1	0	0	0	0	1	0	0	2	1	1	5	0	0	0	1	0	0	4	0	1	1	1	6	1
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	5	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	3	0	1	2	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	4	1	0	3	2	2	0	1	1	1	0	1	4	0	0	0	0	2	1	0	0	0	0	1	0	3	1	1	1	2	1	0	1	2	0	4	1	1	0	1	0	0	0	1	0	4	2	0	0	2	2	0
d__Bacteria|p__Cyanobacteria|c__Gloeobacteria	0	1	0	3	1	2	3	1	0	0	3	4	0	0	0	1	0	0	0	2	0	1	1	1	1	0	0	1	0	0	0	2	0	0	1	1	0	2	3	0	0	5	1	0	0	0	2	1	1	1	5	1	1	0	1	1	2	0	1	2	2	2	3	1	1	0	1	5	3	4	2	1	2	0	3	0	1	1	0	1	0	0	2	0	0	0	1	6	1
d__Bacteria|p__Deferribacteres|c__Deferribacteres	1	0	1	0	0	2	2	2	2	1	0	3	0	2	2	0	0	3	1	1	4	2	2	1	1	1	1	6	0	2	2	2	2	1	0	1	0	1	0	4	2	0	4	0	0	0	1	0	0	8	0	1	0	5	1	4	0	0	9	0	2	2	0	3	0	1	2	1	0	0	2	2	0	1	9	1	6	2	2	7	0	0	2	4	0	0	0	1	0
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci	8	11	10	8	10	13	24	6	7	4	14	15	15	5	11	8	1	2	15	8	6	21	4	5	12	15	3	20	5	2	16	7	6	7	9	9	4	12	11	7	10	49	20	4	4	16	18	9	5	13	10	3	3	1	3	12	10	7	13	11	5	10	37	16	13	7	7	12	17	4	6	7	39	11	17	13	12	30	2	4	7	9	11	9	11	1	3	56	16
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	7	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	3	4	0	1	0	0	1	0	0	0	2	0	1	0	1	1	1	0	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria	3	0	0	1	0	2	0	2	1	0	3	0	2	4	1	2	1	0	0	1	1	0	1	2	2	0	0	2	2	2	0	5	1	7	4	2	0	2	1	0	0	3	1	0	3	0	5	0	2	0	1	1	0	0	0	5	1	0	2	1	2	0	4	3	2	0	3	9	1	0	2	0	0	1	2	1	0	1	1	3	3	0	0	0	0	1	1	13	0
d__Bacteria|p__Firmicutes|c__Bacilli	729	1040	669	1145	1082	1168	3561	32020	8760	1293	2641	647	1736	2242	1559	607	2244	525	2018	635	1286	384	9173	699	703	717	979	662	1500	541	1518	1098	352	1457	951	1226	304	20159	489	509	1783	431	845	226992	316	1024	1876	532	1027	2971	3064	411	524	2093	5022	2106	422	555	15692	722	10509	1785	373	922	2711	651	663	1017	319	645	2553	1026	322	3825	540	814	387	2199	4677	276	680	1957	785	326	825	1006	1385	131	1086
d__Bacteria|p__Firmicutes|c__Clostridia	82080	80826	96405	109770	160975	130588	48748	132155	38527	127323	69273	70084	78894	58035	66436	110413	144672	16040	79196	114167	48765	46330	56902	102678	62355	77350	84675	58326	126078	56114	84591	82363	44769	114735	184543	27799	13574	74344	62653	45496	210086	57193	142135	3807	108331	92757	68914	44866	77256	124907	36142	83241	59435	34653	101527	101055	12167	76791	52697	107586	137076	37744	135523	74324	117043	78452	26419	75618	60533	65987	33332	108921	79860	167289	65603	119332	144623	47776	72177	62312	111689	53975	127885	66427	99715	44887	58302	54301	66883
d__Bacteria|p__Firmicutes|c__Erysipelotrichia	345	344	461	339	292	227	4756	241	151	212	246	266	136	369	441	360	297	291	151	214	245	375	55	267	940	242	1354	186	146	99	265	262	411	189	288	525	80	370	178	173	507	206	1300	47	166	962	272	255	225	343	113	162	149	373	276	337	92	219	98	677	152	278	562	399	633	127	862	286	195	334	230	584	614	688	163	423	203	4227	98	173	445	209	357	246	210	159	2179	171	168
d__Bacteria|p__Firmicutes|c__Negativicutes	173	67	59	40	380	40	30	7735	10534	258	295	61	74	10509	52	6386	40	318	581	104	248	66	693	111	368	41	8035	108	6982	43	841	49	44	5248	264	40	54	233	140	26	249	73	52	2451	41	246	2177	9703	42	353	47490	202	34	67	60	283	426	135	2536	439	2041	70	92	1593	58	40264	25	44	33	268	34613	64	136	1283	54	3465	56	107	764	91	81	54	264	31	361	92	230	177	1278
d__Bacteria|p__Fusobacteria|c__Fusobacteriia	16	7	9	9	13	42	614	7	85	12	23	6	13	9	23	3	4	516	13	3	4	12	11	6	3	18	7	14	1	2	2	4	564	3	312	310	5	2	4	0	15	2	5	163	5	4	86	21	74	11	2	5	8	69	4	15	6	4	644	7	104	181	1	10	10	4	27	2	28	145	48	5	4	33	26	6	4	4	7	21	20	3	11	2	29	2	3	1	16
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	1	1	0	1	1	0	1	0	4	0	1	4	1	0	1	0	1	0	0	1	0	0	0	0	0	2	3	2	0	1	0	0	1	0	1	2	0	1	0	3	0	6	1	0	2	1	2	1	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	3	2	0	1	1	0	0	0	6	0	3	0	0	1	0	0	0	2	0	0	1	0	0	0	0
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	2	1	1	1	0	1	2	0	0	0	0	2	0	0	0	5	2	1	3	0	2	3	0	0	1	0	0	1	0	0	3	1	0	0	0	1	0	0	1	0	0	2	1	4	2	0	0	2	0	0	0	0	1	0	1	5	1	0	1	1	4	0	1	0	1	0	1	1	6	0	0	0	1	2	1	0	0	1	0	0	0	1	3	2	0	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira	0	0	0	1	2	0	1	0	0	0	0	0	4	0	0	1	0	0	0	2	1	2	1	0	0	1	1	0	0	1	1	1	0	2	1	1	1	0	2	1	0	2	2	0	1	0	0	1	0	2	0	0	0	2	1	2	0	0	0	2	1	3	2	0	0	0	2	1	1	0	1	1	3	2	1	0	0	0	0	2	1	0	2	1	1	0	0	1	3
d__Bacteria|p__Planctomycetes|c__Phycisphaerae	1	1	2	0	0	0	1	0	1	0	0	3	2	0	0	2	0	0	2	1	0	1	0	0	0	0	0	2	1	1	3	0	0	0	0	2	0	1	0	2	1	3	0	0	2	1	2	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	6	0	1	5	0	0	0	0	2	0	0	0	1	7	0
d__Bacteria|p__Planctomycetes|c__Planctomycetia	2	2	3	2	3	2	5	1	1	1	1	8	4	1	5	2	3	1	0	2	0	3	0	3	1	1	2	6	2	1	1	10	2	4	1	1	0	4	2	1	1	5	3	4	3	1	2	2	3	3	3	0	0	0	6	3	0	4	5	1	2	3	6	2	2	2	0	11	18	2	1	4	4	1	6	0	5	2	0	3	0	4	0	0	1	0	4	11	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	92	67	67	52	51	63	80	74	70	34	88	115	102	19	43	76	39	58	66	65	57	111	54	46	70	78	62	120	41	65	39	124	54	81	42	59	14	133	62	50	47	252	80	85	80	68	120	61	24	72	45	22	33	24	71	94	50	65	66	82	68	102	198	55	80	50	36	73	67	38	69	86	207	69	107	46	59	102	20	35	51	74	131	94	106	31	52	293	90
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria	56	110	77	58	65	39	82	77	168	33	161	140	69	28	47	81	37	60	68	53	62	114	89	41	78	53	46	118	94	49	61	80	80	96	41	73	14	151	68	29	45	220	86	756	70	86	99	95	44	82	72	30	49	42	75	68	76	53	83	89	62	68	119	57	61	56	39	103	64	48	66	57	180	58	76	93	112	121	62	62	49	119	95	87	103	18	59	283	91
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	97	79	90	61	48	87	156	72	56	37	94	235	88	52	36	68	53	93	128	51	131	118	32	58	85	413	85	125	47	53	54	82	72	72	62	116	20	233	84	74	38	242	138	50	47	63	109	136	44	92	35	46	40	36	73	84	112	32	127	66	84	94	168	87	62	53	41	65	76	40	103	60	299	73	103	53	65	181	16	54	65	45	167	103	99	56	63	399	91
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	413	109	92	276	92	33	181	117	108	85	112	67	35	494	224	35	164	236	131	596	56	95	40	526	68	223	340	69	309	340	112	173	125	88	192	249	274	77	19	79	206	259	133	97	216	25	27	134	17	73	157	277	133	1578	316	63	128	26	203	47	151	664	57	82	121	41	126	191	106	53	55	166	19	382	59	169	203	96	61	115	58	44	27	114	42	10	524	5	44
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	529	308	1058	143	608	11882	9959	6037	111	3372	345	2719	194	216	3651	160	225	637	1487	1101	1244	207	94677	223	1353	675	88	188	140	47094	193307	154	98	409	15501	171	2539	7235	83548	3061	522	293	380	371643	1790	6367	12949	1359	5641	434	206	57	94	1097	310	1829	36949	6805	1594	115624	1010	14885	588	2209	291	215	157	123	1818	948	2202	3023	226	992	16520	112	255	11962	384	75	1904	294	589	304	19558	49	158	11534	2214
d__Bacteria|p__Spirochaetes|c__Spirochaetia	45	48	65	63	56	54	120	116	32	71	29	68	53	47	17	41	46	61	38	60	21	177	32	42	36	75	32	62	97	28	46	34	10	52	37	55	12	32	89	12	65	48	50	7	148	37	28	53	31	45	18	7	15	75	145	45	9	33	42	51	37	72	41	21	71	27	50	38	40	103	41	90	50	183	52	29	31	56	14	15	40	29	58	15	38	13	78	34	67
d__Bacteria|p__Synergistetes|c__Synergistia	3	5	5	2	5	5	20	1	5	3	4	9	5	3	0	5	1	4	3	1	1	2	2	2	4	4	5	10	3	7	4	4	3	5	3	11	0	12	2	1	2	17	7	0	8	5	9	5	1	3	12	3	4	2	2	3	4	1	12	5	1	2	15	3	3	11	3	4	9	0	8	2	4	7	4	0	9	8	3	4	2	0	3	5	6	1	3	15	5
d__Bacteria|p__Tenericutes|c__Mollicutes	15	8	6	7	7	9	4	3	11	11	8	8	35	7	31	5	9	3	9	18	3	18	6	14	9	22	7	48	10	4	3	5	16	9	10	18	10	6	9	3	17	6	15	57	21	10	10	4	13	19	20	4	9	10	7	20	9	15	6	26	7	7	1	12	14	19	7	9	2	10	12	20	4	12	20	7	8	14	13	6	26	11	38	8	7	13	7	7	40
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
d__Bacteria|p__Thermotogae|c__Thermotogae	3	3	3	2	0	2	7	5	2	0	0	2	0	0	5	0	3	0	0	2	2	4	0	4	2	3	7	3	0	1	0	0	6	2	2	6	0	1	4	1	1	2	4	1	7	3	8	1	1	4	3	0	2	1	5	3	0	1	9	2	4	0	2	2	4	0	2	2	3	4	2	0	3	1	5	2	2	0	1	0	3	1	4	0	0	0	1	1	10
d__Bacteria|p__Verrucomicrobia|c__Opitutae	3	5	1	1	1	0	2	2	1	0	1	7	6	0	0	0	1	2	1	0	3	17	0	0	2	3	5	2	1	6	2	0	5	2	0	5	0	3	2	2	1	5	3	0	5	1	2	1	0	7	1	0	0	1	1	1	1	0	9	6	5	3	2	3	4	2	0	0	13	0	0	1	5	0	8	3	4	5	0	3	3	3	9	2	4	0	1	9	8
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1708	14	6885	3	3	1	12067	1063	12	4	13	5065	1165	10	17772	1032	172	60	925	284	26	82	1279	31	1	50	11	316	4133	4284	678	5778	7557	296	10	39	1797	143	16	12	5	9316	9	56	168	675	7	4	303	15	7438	7	3	6	50	2445	1119	215	641	22	320	3851	8	12483	27	343	12	8633	6600	13442	25251	0	5	32	10011	5	13337	2941	5	0	205	61	18	327	0	8	5272	1678	5623
