order	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Solibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Solirubrobacterales	0	1	0	0	3	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	14	1	0	2	1	1	0	0	0	1	0	0	2	0	0	0	1	0	5	0	0	0	0	0	1	0	0	6	0	1	8	0	0	5	0	1	8	0	0	0	0	2	0	0	0	1	8	0
Sordariales	60	66	65	83	53	43	93	53	48	24	108	115	150	23	25	54	55	48	109	83	54	76	87	55	64	58	47	119	59	53	106	96	61	99	56	39	9	147	87	23	71	273	89	355	121	97	90	75	38	141	71	18	48	33	77	98	59	46	53	204	79	14	165	87	74	55	26	67	52	48	40	98	209	76	117	49	79	62	91	45	89	76	114	66	94	4	43	212	102
Sphaerobacterales	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
Sphaeropleales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriales	2	4	1	11	0	0	0	0	2	3	3	12	1	5	0	2	0	5	1	0	3	5	0	0	0	6	2	5	1	4	0	5	0	3	0	0	0	29	0	4	0	5	0	0	0	14	1	9	0	1	2	0	1	0	9	1	1	0	0	1	4	0	0	1	2	2	1	2	8	2	0	0	5	0	0	3	2	2	1	0	4	9	2	6	3	17	2	0	5
Sphingomonadales	1	1	4	8	1	0	1	0	2	6	2	2	1	2	1	2	0	2	4	1	1	2	1	3	1	3	2	4	1	7	1	3	1	5	0	1	0	3	2	3	2	2	0	1	2	0	1	3	2	0	0	1	1	0	1	7	0	13	2	1	0	2	6	10	0	3	2	0	4	0	3	1	7	4	8	3	3	2	0	1	1	1	6	6	9	0	3	4	6
Spirochaetales	212	80	98	41	46	47	361	289	13	129	91	107	161	6	92	36	88	46	22	128	16	251	10	57	125	198	18	153	45	50	33	105	8	46	197	90	12	98	193	26	46	247	67	1	115	43	20	186	13	49	19	25	17	34	24	92	11	14	53	142	49	53	251	46	78	21	69	112	198	142	59	107	129	172	103	33	176	215	28	22	49	44	38	59	59	26	318	69	146
Sporidiobolales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Streptomycetales	5	5	2	9	2	1	10	2	1	2	1	3	25	1	2	2	2	0	9	1	5	14	11	10	5	10	8	9	10	2	6	0	4	2	14	7	0	10	16	6	4	28	2	25	8	10	18	3	1	24	4	0	1	5	7	15	6	3	5	14	13	8	48	7	7	5	0	1	10	3	9	9	31	10	14	3	2	18	2	3	10	4	12	0	5	1	0	71	4
Streptosporangiales	0	2	8	2	4	1	4	8	0	4	7	3	4	6	2	4	1	1	4	14	7	8	4	0	3	14	0	1	3	3	3	1	3	5	2	0	0	2	1	0	1	33	11	10	1	6	6	1	0	5	4	1	1	0	2	7	4	4	4	6	2	14	50	8	4	1	2	2	2	0	0	13	34	10	6	1	6	6	2	0	3	6	5	0	3	8	7	50	18
Synergistales	0	0	1	0	0	0	18	0	1	1	2	4	1	0	1	0	0	0	2	0	0	1	0	0	0	5	0	7	0	0	0	0	4	0	0	0	0	10	1	0	0	2	0	1	0	4	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	2	1	7	0	1	1	1	1	0	0	3	0	6	0	0	1	2	1	2
Syntrophobacterales	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	5	0	0	0	0	0	19	0	0	32	0	0	0	0	0	1	1	1	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	6	3	0	0	0	0	0	0	1	0	3	0	3	0	1	0	0	1	0	1	0	0	0	0	0	1	2
Thalassiosirales	0	0	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermales	0	1	2	5	1	8	8	0	1	0	1	5	1	3	2	1	6	2	0	1	4	2	0	0	4	4	2	9	2	0	4	2	4	1	4	1	0	0	1	0	2	4	6	1	3	1	1	4	4	4	2	1	3	0	2	0	1	0	7	4	2	1	11	2	1	1	2	0	2	2	1	2	8	3	3	0	3	11	1	0	4	9	0	4	6	2	2	7	0
Thermoanaerobacterales	23	12	26	10	18	24	47	6	5	2	5	19	18	14	5	25	19	18	13	7	1	7	5	23	19	33	0	36	4	6	18	7	7	4	7	15	0	18	15	12	21	67	33	3	26	20	22	69	12	31	5	6	6	8	13	14	15	10	8	20	34	5	6	35	5	16	5	8	18	21	5	3	34	20	87	8	14	10	1	14	6	5	32	29	4	7	12	23	52
Thermococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermodesulfobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermotogales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiotrichales	1	0	0	1	0	0	0	2	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0	2	0	0	1	0	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0
Tissierellales	19	9	20	20	10	100	438	11	5	11	13	26	20	9	23	34	17	16	17	33	14	7	6	28	4	10	11	28	2	5	0	12	20	4	32	182	1	1	8	21	14	18	8	11	5	20	30	6	7	23	0	5	9	2	5	8	6	6	13	10	22	16	9	16	8	12	5	2	6	163	8	18	31	29	37	7	6	141	5	12	1	15	18	2	19	8	4	1	11
Tremellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified	5	27	74	13	10	8	4	1	2	12	13	51	6	6	2	18	5	12	27	16	3	18	16	10	5	7	7	8	7	12	2	10	17	16	14	8	0	6	18	18	7	7	20	898	3	7	5	7	8	7	8	2	5	33	17	10	5	13	16	22	110	4	34	25	29	3	6	11	16	1	51	11	18	3	3	18	21	18	8	8	9	10	30	8	6	2	2	14	19
Ustilaginales	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
Vaucheriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Verrucomicrobiales	2005	88	9540	9	13	11	13911	1221	4	4	11	5996	4202	8	23902	4469	827	211	3660	1141	120	360	1720	106	2	155	3	1274	6364	5009	2738	7831	10182	1225	11	53	2379	175	55	7	11	12527	25	70	677	835	11	3	427	57	8662	6	3	10	85	2883	4272	931	747	30	423	14747	17	15037	98	391	11	11684	8804	18504	34154	1	6	113	13897	5	15638	3968	13	2	253	166	49	367	4	2	6078	1944	7506
Vibrionales	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	4	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	2	1	8	0	0	0	1	2	1	0	0	20	2	0	0	0	1	2	29	2	1	0	0	2	0	0	2	0	2	0	1	1	1	1	1	0	1	0	3	3	1	1	0	0	1	1	4	1	2	1	2	1
Xanthomonadales	5	0	1	6	2	2	0	5	0	2	3	4	11	1	1	4	4	2	21	3	5	16	0	5	5	1	4	10	0	5	7	5	4	2	4	1	0	16	4	2	4	28	11	18	5	7	4	2	2	15	3	1	7	0	1	10	11	0	2	10	6	6	29	4	5	2	0	5	1	0	2	3	15	8	13	0	6	6	1	0	3	2	13	10	4	11	0	19	12
