order	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Hydrogenophilales	0.000410798569125	0.00105849422516	0	0	0	0.000397968404823	0	0	0.00162665173647	0	0.0140766142756	0	0.000574178787046	0	0	0	0	0.000471883383863	0	0	0	0	0.000935080227818	0	0.000451250585583	0	0	0.000860942045391	0	0	0	0	0	0.00528352928524	0	0	0	0	0	0	0	0.0020082782428	0.0071932082306	0.000416147214344	0	0	0	0	0	0.00537897433357	0	0	0	0	0.00486561496161	0	0	0	0	0.000473087042114	0	0	0	0	0	0.00233392067002	0	0	0	0	0	0.000867574878801	0	0.000789292373106	0	0	0.00384141650526	0	0	0.000467761511224	0	0	0	0.000876964284326	0	0	0	0	0
Hypocreales	0	0	0	0	0	0	3.25013320094e-05	1.62702935473e-05	0	2.67639866841e-05	5.57505674572e-05	0	0.000100057788984	0	0	0	0	5.12582919592e-05	0	0	0	0	0	0	0	3.49753407752e-05	0	0	0	0	0	0	0.000146805539916	0	0	0	0	0	0	0	0	0	0	0	0	0	9.41917448874e-05	0	0	5.35231642947e-05	0	0	0	0	2.82631290745e-05	5.03207916167e-05	0	0	0	0	0	0	4.86415835573e-05	0	0	0	0	0	3.56130110605e-05	0	0	3.7796426004e-05	6.36706338279e-05	0	0	0	0	0	0	0	0	0	0	0	2.80672842219e-05	0	3.09319016811e-05	0	0
Ichthyophonida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40754054677e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.74539620602e-05	0	0	0	0	0	2.09516880915e-05	0	0	0.000187728296202	6.63703759891e-06	0	0	0	0	0	0.000112596805734	0	0	0	0	0	0	0	0	0	0	0	0.000108089892851	0	0	0	0	0	0	0	0	0	0	2.19178059754e-05	9.44118387004e-06	0	0	2.62568062109e-05	0	0	0	1.44222383643e-05	0	0	0	0	0	0	0	0
Ignavibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000313674573762	0	0	0	0	0	0.000376221388792	0	0	0.000789594869287	0	0	0	0	0	0	0	0	0.000689936939142	0	0	0	0	0	0	0	0	0.000479420447961	0	0	0	0	0	0.000342586612057	0	0
Isochrysidales	0	0	0	0	0	0	0	0.0259581216461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130675848761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713283111995	0	0	0	0	0	0	0	0	0	0	0	0.254369760864
Kineosporiales	0	0.000310693951791	0	0	0	0.00070088078013	0	0	0	0	0	0	0	0.00109967553841	0	0.00028642682725	0	0.000277018636157	0	0	0	0	0.000274468924172	0	0	0.00137278364957	0	0	0	0	0	0	0	0	0	0.000225491324491	0	0.00061320570631	0	0	0	0.000589478798014	0	0.00122149388705	0	0	0	0.000826448135996	0	0	0	0	0	0.000626583292998	0.000190423604196	0	0	0	0	0	0.000255899843513	0	0.00473178569175	0.000825264018289	0.000305693425322	0	0.000385246181033	0	0	0.000712024106859	0	0	0.000537839673551	0.000695029866076	0.00123726747088	0	0	0	0	0	0	0.000254664408497	0	0	0.00118545223094	0	0	0.00163124958325	0.0021541327918
Kosmotogales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000841806611918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillales	0.752530033209977	1.34580456141901	0.941433166658128	0.933504535706149	0.682095172546478	1.03593311534506	3.45665114394637	21.1889412528859	7.79153305094249	1.99805957981479	4.41408316275867	0.918663825803494	2.94218186144594	1.68881119907897	1.15891332985915	0.667123691316455	2.00399872401258	0.512914879367284	2.56698546323913	0.724590652243363	2.6957397757125	0.885520124815336	8.79388726496461	0.624068476356491	0.989162179730346	1.22876725770539	0.998660669011504	1.39044080285242	0.8949164570624	0.415244098963061	0.83556805224665	1.1981673826737	0.34423625138174	1.68974781674376	0.81347351840811	0.696716873919343	0.217603223413393	26.4368907105386	0.453943163892999	0.257727255378872	1.16112784755697	1.6518256918603	1.44163691381219	54.6643812597221	0.517747403643838	1.771745805544	2.46493685284502	0.422764388965496	0.710419854521338	6.10758941715329	2.21616266874479	0.296021940680735	0.442401790023431	1.7832365933213	4.5252893667836	3.77675055795951	0.192808816037991	0.573663527084952	22.0975498024454	0.985555094981903	11.0796192267951	3.07768261865609	0.991350775896104	0.630623825677494	3.50866053797099	0.636134498322779	0.43486575398483	1.05319865848905	0.404100131973843	0.792897558129851	2.14665197246768	1.01536876773013	0.596051207580189	3.68840743798382	0.672658899501566	0.978640289077177	0.62032862206561	2.45120833195412	3.99786786421116	0.342161592952882	1.09161692660851	1.57048606508096	1.70033683455431	0.31338508480278	0.804384765509086	0.91405146712658	1.28003119654502	0.19991788775643	1.9190334374853
Legionellales	0.00092770513396	0	0.000713513639936	0	0	0	0	0	0.000228154524973	0	0.00117745005681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003726599055686	0	0	0	0	0	0	0	0	0	0	0	0.000459583739286	0	0	0	0	0	0	0.000472253254343	0.00232746875716	0	0	0	0	0	0	0	0	0	0	0	0	0.000199675377275	0	0	0	0	0	0	0.00468650145803	0	0	0	0.000715058034014	0.00590548466676	0
Lentisphaerales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000471420025527	0.000490808788749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000291418177063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnaporthales	0	0	0	0	0	0	0	0	0	0	0	0	4.21461554271e-05	0	0	0	0	0	0	0	0	5.84813238377e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47218680779e-05	0	0	0	0	0	0	0	0	7.56096612102e-05	0	0	0	0	0	0	0	2.33099865757e-05	0	0	0	0	3.14515639071e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000513891622474	0	0	0	0	0	0	0	0	0	0	0	0.000277749178601	0	0	0	0	0.000322005232531	0	0	0	0	0.000403172578403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000249264355868	0	0	0.00112971674832	0.000243315036959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malasseziales	0	0	0	0	0	0	0	0.00136229661801	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033206358868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00410029244892	0	0	0	0.000114321789888	9.16551078153e-05	0	0	0	0	0	0	0	0	0	0.000212381275717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128190433018	0.000198899896146	0	0	0.000288349358052	0	0	0	0	0	0	0.000152456170501	0	0	0	0
Mamiellales	0	0	0.000664882623642	5.24813744514e-05	0	0	0	0	0	0	8.8199361192e-05	0	0	0	0	0	0	0	0.000648817068432	0	0	0	6.44479026395e-05	0	0	0	0	0	0	0	0	0	0	0	0.000121425763303	0.000105894996825	0	0	0	0	0	0.00166098245025	0	0	0	0.000111640020354	0	0	0	0.00101951138582	0	0	0	0	0	0	7.08521182843e-05	0	0.000387767034407	0	0	0	0.000617260050463	0	0.000358898556041	0	0	5.92987606415e-05	0	5.5730001073e-05	0	5.97952770876e-05	0.000126289848737	0	7.26305297978e-05	0	0	0.000367098364627	0	0	0	0	0.00162502548097	6.04424167395e-05	0	0	5.35629188263e-05	0.00134061497577	0.00293370252014
Methanobacteriales	0	0	0	0	0	0	0.012106415430273	0	0	0	0	0.0058051088603	0.00568950644734	0	0	0.0136565745599	0	0	0	0	0	0.131798620051	0	0	0	0.00577527306682	0	0.13182881081	0	0	0	0	0	0.000790833215972	0	0	0	0	0.0112030603446	0	0	0.01820124877514	0.00430668796636	0	0.03973660878483	0	0.00535595024902	0	0	0.00110703908205	0	0	0	0	0	0.00936722918462	0	0.00141855879254	0	0.00468779383179	0	0	0	0	0	0	0	0	0.00589850558816	0	0.00450578236968	0	0.00907833037414	0	0.00954279194398	0	0	0.0540787291496	0	0	0	0	0.00149307072747	0.001450500773386	0	0	0	0.0183003574018	0.250122049986
Methanocellales	0	0	0	0	0	0	0	0	0	0	0	0.000536099510164	0	0	0	0	0	0	0	0	0	0	0	0	0.000443968715564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119680235633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000901390803618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329921372278	0	0	0.000796802976864	0	0.000750914438883	0	0	0	0	0.00297722814798	0	0	0	0.000657390601719	0	0
Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0.00188900625091	0.00171487021133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070833875197	0	0.000871424097585	0	0	0	0	0	0	0	0	0	0	0	0	0.000388359243716	0	0	0	0	0	0	0	0	0	0	0	0	0.00147706298342	0	0.000618717368298	0	0	0	0	0	0	0	0	0	0	0	0	0.00163147011125	0.000861769603271
Methanopyrales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000812211995692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
