family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18529	0	0	0	0	0	0	0	0.02123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10548	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0	0	0	0	0	0	0	1.09664	0	0.02347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11571	0	0	0	0	0	0	0	0	0.14076	0	0	0	0	0	0	0	0	0	0.35398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23327
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	0.04929	0	0	0.05123	0	0.27184	7.45421	3.7069	0	1.12863	0	0.55166	0.44462	0.19896	0	0.92623	0	0.62647	0	0.25566	0	3.77884	0.01034	0	0	0	0	0.25105	0	0.13931	0.1324	0	0.23875	0	0	0	8.04089	0	0	0.23651	0	0	28.20433	0	0	0.21235	0	0	1.08001	0.74568	0	0	0.05056	1.69281	0.49064	0	0	13.34534	0	5.72306	0.16216	0	0	0.68333	0.01899	0	0.07205	0	0	0.16626	0.06538	0	0.79503	0	0.04033	0	0.1883	1.78374	0	0	0.02644	0	0	0	0.04978	0.00878	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	0.04622	0.11146	0	4.75868	1.12644	3.07687	0	2.73295	0.01209	0	0.72773	0	13.21261	0.53073	0.08987	0	2.07293	0.08146	0	0	0	0.76267	0	0.06445	0.04205	0.1228	0	0.06682	1.29978	1.09418	0.00836	2.54061	0.77045	0.43822	0.54313	1.01398	0	0	4.85613	4.39821	0	0	0.413	0.20391	0.04351	0	0	0	8.21755	1.45064	0.70318	2.14886	2.5746	0.06593	0	0.75838	0	0	0	0	49.74412	0	0.78938	0.1422	0	0.43738	0.1305	1.72748	5.14901	5.43802	0	0	0	0	1.14958	0	1.22598	0.67223	0.07906	0.04282	0.50032	0	0	0	1.38322	1.07601	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0	0	0	0	0	0	0.03073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39145	0	0	0	0	0.10408	0	0	0	0	0	0.13658	0	0	0	0	0	0	0	0.08313	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0	0	0	0	0	0	0	0	0.06519	0	0	0.1249	0	0	0	0	0.34783	0.08463	9.31199	0	0	1.33089	0	0	12.83174	0	0.18617	0	0	0	0.01657	0	0	0	0	0.34085	0	0	5.00699	0.01982	0	0	0	0	6.78307	0	0	0	0	5.91389	0	0	0	0.17484	0	0	0.1648	0	0	0	0	0.135	0	0	0	0	0	0	0	0	0.97546	0.01773	0	0	0	0	0	0	0.09449	0.39196	0	0.15575	0	0	0	0.2647	0	0	5.21572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	7.76425	6.45042	14.06165	14.63438	43.26859	17.21834	4.31797	10.84175	2.15578	31.14003	6.44954	19.36279	15.30353	0	9.7256	11.47877	27.23243	1.23175	23.63017	23.51042	3.26643	7.24916	1.7144	3.67963	5.28335	13.14951	9.34987	7.675	25.35598	8.17191	11.56576	2.86979	2.24885	19.83859	30.10476	1.70872	0	3.67558	5.94367	10.26746	47.69302	3.3737	37.44086	0	21.82286	2.86734	8.96041	3.03666	10.14861	30.85264	6.79604	15.72384	14.44978	0	18.04377	5.30678	0.09054	12.99913	5.58003	17.92628	27.23692	0.65426	3.56906	5.45219	10.32863	13.43887	5.55544	3.17689	16.95542	4.11278	1.46962	16.48309	29.57041	12.12941	7.55216	15.82361	49.82796	3.63556	15.65005	9.3296	15.48344	0.0401	39.43804	4.10779	12.73502	0	9.34847	0.29943	9.75935
