family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	1	4	2	2	3	8	12	2	2	0	7	5	6	4	2	4	2	0	9	0	2	8	1	4	8	6	0	8	1	5	3	4	1	6	3	8	0	13	0	1	2	20	4	3	2	2	9	2	0	4	0	1	1	2	1	6	2	2	9	8	2	7	18	2	3	5	0	2	1	2	5	3	11	8	2	7	1	8	2	0	1	2	12	1	6	4	4	19	4
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	2	2	3	0	0	1	8	0	7	0	3	4	2	0	0	2	0	0	0	1	1	14	2	0	4	2	4	1	2	2	3	2	1	1	1	5	0	3	1	2	0	7	3	19	2	5	5	5	1	1	3	0	0	0	1	0	2	1	5	1	1	4	9	3	1	2	0	2	1	4	2	3	4	2	3	0	3	11	0	3	0	2	3	3	3	1	1	9	2
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae	0	1	1	0	0	1	2	0	4	1	1	1	2	0	0	1	1	1	2	1	0	2	1	1	3	0	1	1	0	0	0	1	2	1	0	2	0	0	0	1	1	2	3	0	0	1	1	4	0	1	1	0	1	0	0	3	0	0	0	1	1	9	2	1	1	0	0	1	0	0	1	0	3	4	2	0	1	4	1	0	1	0	0	1	0	0	0	3	1
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae	1	1	2	0	0	1	3	0	0	1	2	2	1	2	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	5	0	2	0	4	2	0	1	2	3	1	1	0	0	0	0	1	0	1	1	0	3	1	2	3	4	4	0	1	0	0	1	0	0	0	4	2	0	1	0	0	0	0	1	0	1	0	2	0	0	3	0
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	412	104	89	273	92	32	172	115	101	85	109	64	31	491	223	32	161	231	126	590	55	90	38	521	68	215	335	60	307	336	111	167	112	87	188	247	273	70	17	76	204	245	128	94	211	24	25	131	15	65	156	275	129	1571	311	61	124	24	201	43	143	655	55	81	115	37	120	188	96	52	48	163	16	381	56	168	201	93	59	110	56	42	24	112	38	9	521	3	38
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	0	3	1	1	0	0	3	2	7	0	2	3	3	2	1	1	2	4	1	2	0	1	1	0	0	2	5	3	2	1	0	2	12	1	3	1	1	3	2	0	1	5	3	3	1	1	0	1	1	3	1	0	2	6	5	0	3	0	1	4	4	5	1	0	1	3	5	2	1	0	4	1	1	0	0	1	0	0	2	4	2	0	1	2	1	0	2	2	5
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales|f__Nautiliaceae	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae	0	0	1	1	0	1	0	1	1	0	1	0	0	2	1	2	0	1	3	0	0	4	1	1	0	0	1	2	0	0	0	0	2	1	0	0	0	6	1	1	1	3	4	6	2	2	1	2	0	0	0	0	0	0	2	0	1	1	1	1	1	3	0	1	1	0	3	1	0	1	0	1	1	3	1	1	1	2	0	1	0	1	0	0	0	0	0	4	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	4	4	27	5	3	5	5	7	1	4	16	18	10	18	6	5	1	19	15	2	9	3	5	3	3	3	8	9	24	3	4	7	7	13	7	7	1	15	5	1	5	13	11	9	1	7	26	100	1	3	4	6	4	63	6	5	15	9	6	7	4	9	16	4	7	1	5	4	3	1	4	8	9	9	156	5	14	16	1	3	3	3	5	2	4	7	2	38	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	2	3	2	0	1	0	2	2	0	2	2	2	3	1	1	0	1	1	3	1	1	2	3	1	0	0	1	2	5	0	1	0	1	0	4	1	3	1	1	1	7	5	2	25	1	0	5	1	0	3	0	1	1	2	3	0	5	4	2	0	4	0	1	3	0	0	0	1	2	3	2	3	0	0	1	0	0	2	3	4	2	3	1	3	3	0	2	11	6
