order	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	3	5	5	2	5	5	20	1	5	3	4	9	5	3	0	5	1	4	3	1	1	2	2	2	4	4	5	10	3	7	4	4	3	5	3	11	0	12	2	1	2	17	7	0	8	5	9	5	1	3	12	3	4	2	2	3	4	1	12	5	1	2	15	3	3	11	3	4	9	0	8	2	4	7	4	0	9	8	3	4	2	0	3	5	6	1	3	15	5
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	6	5	2	4	2	4	4	1	2	7	2	2	20	3	13	2	2	1	3	4	1	7	1	7	5	10	4	16	3	1	1	4	6	4	4	6	7	4	3	0	5	4	7	28	8	4	4	1	5	9	20	0	5	4	3	7	7	5	2	12	3	2	1	2	8	11	4	5	0	4	10	7	2	4	12	0	2	5	4	3	12	2	7	2	3	11	5	3	15
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	5	0	0	1	2	0	0	0	2	0	2	0	1	0	4	1	3	0	1	4	0	3	0	2	1	3	0	10	2	0	0	0	1	0	0	0	1	0	1	0	2	0	2	1	3	2	0	0	2	2	0	2	2	0	1	3	0	0	1	2	0	0	0	3	2	2	0	0	0	0	0	3	0	0	2	1	0	1	0	1	5	3	12	1	1	0	0	2	12
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	4	3	4	1	3	3	0	1	5	3	4	2	11	3	14	2	2	2	5	5	2	5	5	4	2	8	3	18	2	2	1	0	7	5	2	5	1	2	3	3	7	2	6	6	7	4	5	3	4	4	0	2	0	4	3	7	2	4	2	10	4	4	0	7	3	5	3	3	2	4	2	9	0	4	6	5	4	7	8	2	8	6	18	3	2	1	2	1	12
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	3	3	3	2	0	2	7	5	2	0	0	2	0	0	5	0	3	0	0	2	2	4	0	4	2	3	7	3	0	1	0	0	6	2	2	6	0	1	4	1	1	2	4	1	7	3	8	1	1	4	3	0	2	1	5	3	0	1	9	2	4	0	2	2	4	0	2	2	3	4	2	0	3	1	5	2	2	0	1	0	3	1	4	0	0	0	1	1	10
d__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	0	0	0	0	1	0	1	0	1	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	0	3	2	0	0	1	1	2	0	0	0	0	0	1	1
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1708	14	6885	3	3	1	12067	1063	12	4	13	5065	1165	10	17772	1032	172	60	925	284	26	82	1279	31	1	50	11	316	4133	4284	678	5778	7557	296	10	39	1797	143	16	12	5	9316	9	56	168	675	7	4	303	15	7438	7	3	6	50	2445	1119	215	641	22	320	3851	8	12483	27	343	12	8633	6600	13442	25251	0	5	32	10011	5	13337	2941	5	0	205	61	18	327	0	8	5272	1678	5623
d__Bacteria|p__Verrucomicrobia|o__Methylacidiphilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Viruses|o__Caudovirales	18	4	1	0	502	9	130	28	2	5	1	4	67	1866	2	0	1	1	9	4	0	0	53	59	1	3	2	6	6	55	75	3	1	1	26	10	5	135	232	1	534	0	1	258	3	1	39	1	7	0	2	1	404	2	3	3	4035	136	3	11	6	5	1	114	12	0	3	0	4	2	3	17	3	10	10	0	1	7	53	0	1	4	1	2	8	0	0	1	3
d__Viruses|o__Herpesvirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
