class	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Epsilonproteobacteria	85	71	66	124	68	40	36	45	56	73	37	41	46	137	52	49	56	249	48	174	19	68	35	258	61	179	82	65	60	309	44	64	22	48	77	52	20	68	63	74	134	240	64	161	122	33	148	149	24	87	18	123	21	597	61	63	54	31	584	81	120	1217	56	30	56	36	33	96	26	88	35	69	56	284	60	44	182	14	34	66	48	20	48	38	53	18	194	19	56
Erysipelotrichia	455	161	401	217	447	429	1048	120	507	1699	201	13453	491	3436	749	373	241	269	674	199	584	193	100	756	201	148	1288	174	2240	537	217	518	509	409	2601	758	518	726	109	2122	633	112	233	355	1455	395	700	240	613	4257	509	3322	357	12023	798	441	1226	16116	2663	160	263	5177	192	560	291	597	7736	489	199	1902	10530	479	228	770	5751	597	99	2130	280	4889	784	393	263	233	1323	32647	756	168	521
Eurotiomycetes	40	47	15	24	16	9	15	43	37	22	40	45	35	8	10	18	28	25	18	22	13	16	41	21	22	21	22	53	35	80	49	35	37	19	32	5	17	61	8	0	9	84	43	221	19	38	35	24	4	25	33	5	25	26	46	20	24	35	37	179	31	17	30	24	39	12	15	35	26	14	22	17	47	43	42	20	57	12	30	13	46	18	34	30	40	2	10	73	47
Flavobacteriia	4	3	41	3	2	49	2	167	2	165	5	6	29	66	12	4	55	18	1	6	10	39	12	1	3	45	5	7	3	3	7	21	0	10	5	5	0	11	3	223	3	1	4	10	4	16	10	5	4	9	6	7	9	1	10	3	3	16	8	15	10	2	7	8	8	8	14	9	32	4	3	1	22	3	12	12	79	6	1	19	9	12	34	9	14	4	4	23	19
Florideophyceae	0	0	0	5	0	0	7	0	4	0	0	0	1	0	0	0	0	4	0	0	0	0	0	16	0	6	0	11	0	0	0	0	1	0	4	1	0	0	0	4	0	3	7	0	0	0	14	7	0	0	0	0	10	1	0	3	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
Fusobacteriia	27	2	4	1	58	102	795	0	670	38	58	20	4	6	23	7	0	2592	25	2	2	27	30	1	0	38	8	26	0	1	0	4	2723	3	541	424	6	0	4	0	31	0	8	596	16	6	135	44	330	20	2	3	4	159	8	42	9	4	1388	8	286	385	0	24	0	6	124	1	38	454	149	22	2	61	83	1	1	3	5	42	61	2	16	1	24	1	1	1	9
Gammaproteobacteria	871	417	2046	158	1310	30979	22128	9956	37	4431	535	5012	262	341	10037	192	317	1120	2202	2788	1919	243	184016	438	2131	1011	29	138	107	104733	242003	134	22	665	29225	149	4567	8242	115483	6792	872	220	525	527885	4309	10766	27541	1715	10575	828	349	33	69	2347	502	4683	99873	15725	2460	126351	2147	34653	772	5189	433	358	153	91	4564	2304	4336	6039	58	1654	39240	113	304	26135	656	38	4135	354	869	295	42906	20	112	32856	3351
Gemmatimonadetes	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Glaucocystophyceae	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	2	6	0
Gloeobacteria	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	4	0	1	1	0	0	1	0	1	0	0	0	0	1	1	3	0	0	0	0	0	2	0	1	1	0	0	0	4	0	0	1	1	0	1	0	1	0	0	0	1	5	2	1	0	0	0	0
Halobacteria	0	0	0	0	6	0	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
