SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
ERR688471	540278	147	540131	11363	129655	194961	210	234
ERR688472	668626	276	668350	14324	139917	235136	209	232
ERR688473	653502	13	653489	17673	226168	250078	208	228
ERR688474	747284	558	746726	15783	239141	298782	209	234
ERR688475	660555	28	660527	11573	102752	220330	205	230
ERR688476	628309	17	628292	14554	141270	232827	205	223
ERR688477	914009	9	914000	8155	103851	321523	208	241
ERR688478	499037	29	499008	9581	99165	179441	205	225
ERR688479	663574	124	663450	8383	72369	232326	209	239
ERR688480	564478	42	564436	10531	98546	193421	210	227
ERR688481	414147	22	414125	10377	117857	145826	203	230
ERR688482	469009	34	468975	11746	108281	171452	205	222
ERR688483	613060	80	612980	9235	93950	205158	210	239
ERR688484	748643	51	748592	20693	190925	318844	208	232
ERR688485	755143	33	755110	10104	392672	375506	212	240
ERR688486	779967	2	779965	12984	134936	258401	209	237
ERR688487	513744	8	513736	10685	107584	175710	207	236
ERR688488	354624	239	354385	6181	50330	123817	208	228
ERR688489	661725	302	661423	13722	166460	239649	208	230
ERR688490	381717	14	381703	7604	43624	126936	201	219
ERR688491	855374	31	855343	9778	689134	532836	201	225
ERR688492	549517	6	549511	12468	137260	195775	207	231
ERR688493	583117	34	583083	16953	212848	272105	213	232
ERR688494	418466	44	418422	10040	105657	151782	204	220
ERR688495	489931	72	489859	11910	149789	159997	208	232
ERR688496	521058	21	521037	9858	49570	170793	203	221
ERR688497	340803	34	340769	5589	48704	114846	200	227
ERR688498	494041	126	493915	12792	137057	187387	210	236
ERR688499	801556	9	801547	14630	179057	286539	210	237
ERR688500	357312	68	357244	9456	96848	131499	206	230
ERR688501	433426	5884	427542	13390	283280	150529	198	210
ERR688502	514618	357	514261	9746	123047	175327	209	227
ERR688503	466501	28	466473	11466	125558	164253	206	225
ERR688504	471921	280	471641	7839	99132	164696	206	231
ERR688506	57496325	56496325	1000000	15017	189986	337569	214	235
ERR688507	53011465	52011465	1000000	24111	301156	369151	213	238
ERR688508	44249562	43249562	1000000	22010	244650	368445	210	238
ERR688509	45583167	44583167	1000000	17474	203567	379428	209	238
ERR688510	43436640	42436640	1000000	28729	174557	376963	207	233
ERR688511	36140981	35140981	1000000	24425	244147	378307	208	237
ERR688512	58107182	57107182	1000000	16649	177371	380143	207	235
ERR688513	43726890	42726890	1000000	32914	434011	463129	208	231
ERR688514	43079715	42079715	1000000	13929	165283	346938	213	238
ERR688515	43188735	42188735	1000000	16214	118094	329175	213	248
ERR688516	38167298	37167298	1000000	16995	248256	396611	210	241
ERR688517	43837032	42837032	1000000	6677	82594	320421	213	238
ERR688518	42943359	41943359	1000000	20797	232796	363463	207	232
ERR688519	55274116	54274116	1000000	21199	255335	389030	207	238
ERR688520	41241421	40241421	1000000	19979	290255	358915	207	235
ERR688521	45573579	44573579	1000000	24005	192960	368503	208	235
ERR688522	46130178	45130178	1000000	23728	226989	368416	210	240
ERR688523	45178269	44178269	1000000	21761	261305	367876	209	243
ERR688524	38230164	37230164	1000000	13917	147428	341936	212	239
ERR688525	41144024	40144024	1000000	17234	193027	335842	211	240
ERR688526	51302855	50302855	1000000	21721	210635	370809	209	230
ERR688527	49375406	48375406	1000000	21097	165146	316124	211	242
ERR688528	50382984	49382984	1000000	14159	149907	340076	213	237
ERR688529	49568728	48568728	1000000	15958	173968	339651	210	242
ERR688530	49777437	48777437	1000000	26582	298952	384937	211	238
ERR688531	35179723	34179723	1000000	26755	207563	380040	207	223
ERR688532	40040533	39040533	1000000	40961	586687	465866	209	236
ERR688533	48510668	47510668	1000000	23488	220363	362291	210	238
ERR688534	53843747	52843747	1000000	14147	681176	553915	208	232
ERR688535	55170813	54170813	1000000	26886	313816	412690	208	241
ERR688536	52349032	51349032	1000000	26099	205273	369858	206	237
ERR688537	52460275	51460275	1000000	20299	144064	376229	207	226
ERR688538	55506566	54506566	1000000	22696	227738	367891	207	229
ERR688539	48759949	47759949	1000000	20261	359740	352731	211	228
ERR688540	34812121	33812121	1000000	22766	266447	365609	211	236
ERR688541	53774733	52774733	1000000	26290	463987	376879	210	235
ERR688542	60007249	59007249	1000000	22010	378376	364337	209	228
ERR688543	31215300	30215300	1000000	31317	443672	417150	210	236
ERR688544	44177645	43177645	1000000	12989	188306	332959	209	234
ERR688545	43112581	42112581	1000000	18657	234309	370128	209	242
ERR688546	52819709	51819709	1000000	22275	259773	348986	208	235
ERR688547	39606072	38606072	1000000	18805	207530	365115	212	234
ERR688548	51270146	50270146	1000000	16017	369536	397685	205	233
ERR688549	67328009	66328009	1000000	23541	163128	329851	206	228
ERR688550	43223997	42223997	1000000	27051	272803	378170	211	236
ERR688551	40677432	39677432	1000000	13747	186754	307961	213	251
ERR688552	38456117	37456117	1000000	26569	315801	356509	206	229
ERR688553	48554805	47554805	1000000	12931	126522	312108	213	241
ERR688554	48442964	47442964	1000000	38634	289136	415973	210	232
ERR688555	44939715	43939715	1000000	24813	251020	383626	208	234
ERR688556	34009397	33009397	1000000	27533	290685	370172	212	237
ERR688557	37554532	36554532	1000000	23565	566422	438879	208	233
ERR688558	41328812	40328812	1000000	18686	174822	358419	212	231
ERR688559	59766631	58766631	1000000	13386	170630	365082	212	243
ERR688560	47024065	46024065	1000000	23836	560578	559854	207	228
ERR688561	2022081	1022081	1000000	29168	298276	336568	208	229
ERR688562	1953635	953635	1000000	32003	446170	447810	209	237
ERR688563	44873668	43873668	1000000	25756	334921	408338	211	235
ERR688564	52241109	51241109	1000000	16366	193418	375050	209	241
ERR688565	47394754	46394754	1000000	16835	184280	358461	211	245
ERR688566	35391168	34391168	1000000	20524	246303	385616	206	232
ERR688567	37981094	36981094	1000000	27923	334552	386374	210	241
ERR688568	34658258	33658258	1000000	20097	212004	328350	210	220
ERR688569	52291986	51291986	1000000	25158	271989	352774	212	240
ERR688570	37550142	36550142	1000000	21126	279841	366976	217	246
ERR688571	50986061	49986061	1000000	25438	228078	317659	206	226
ERR688572	54983769	53983769	1000000	27119	262721	357556	208	233
ERR688573	46520580	45520580	1000000	25585	254212	355097	210	241
ERR688574	45382885	44382885	1000000	22847	216836	345638	213	239
ERR688575	51544462	50544462	1000000	23431	241682	331968	214	240
ERR688576	49613912	48613912	1000000	17880	167438	351626	210	236
ERR688577	48851581	47851581	1000000	25180	348484	403784	209	240
ERR688578	45634731	44634731	1000000	23263	233849	331462	212	235
ERR688580	45178805	44178805	1000000	24985	472673	474949	212	244
ERR688581	56157193	55157193	1000000	26643	267283	357209	213	242
ERR688582	55474488	54474488	1000000	9604	126219	274844	211	239
ERR688583	62210186	61210186	1000000	25157	283533	337292	209	230
ERR688584	44662320	43662320	1000000	26209	337037	398290	211	232
ERR688585	41646468	40646468	1000000	26763	279256	396363	213	240
ERR688586	45822467	44822467	1000000	21689	211407	341445	213	242
ERR688588	39700451	38700451	1000000	26313	297584	371936	206	229
ERR688589	54236548	53236548	1000000	26388	249400	368513	216	242
ERR688590	36568193	35568193	1000000	25447	249123	356627	214	244
ERR688591	38823392	37823392	1000000	28240	339485	401100	208	237
ERR688592	54623687	53623687	1000000	27043	330380	399956	213	241
ERR688593	38793845	37793845	1000000	18373	200957	363818	209	237
ERR688594	38062384	37062384	1000000	31174	387971	445686	206	233
ERR688595	39160099	38160099	1000000	14067	521560	505654	208	236
ERR688596	48446603	47446603	1000000	26668	259542	384362	209	239
ERR688597	45108968	44108968	1000000	23518	249223	350505	208	227
ERR688598	48636264	47636264	1000000	25782	333930	391217	212	230
ERR688599	47159469	46159469	1000000	25561	252894	398148	209	233
ERR688600	34917714	33917714	1000000	15382	199314	292514	209	235
ERR688601	50593689	49593689	1000000	22141	341650	313254	209	238
ERR688602	44721021	43721021	1000000	20000	212463	370579	204	234
ERR688603	45088307	44088307	1000000	21171	259192	365561	207	234
ERR688604	47131172	46131172	1000000	14900	182946	348745	213	239
ERR688605	36905036	35905036	1000000	27486	280293	385495	210	243
ERR688606	50318311	49318311	1000000	19792	388129	370833	210	237
ERR688607	35021276	34021276	1000000	22674	216999	326708	208	230
ERR688608	41772839	40772839	1000000	21382	243291	372412	207	233
ERR688609	28056898	27056898	1000000	17576	151054	353689	211	239
ERR688610	50703158	49703158	1000000	11118	130699	351309	211	248
ERR688611	40149494	39149494	1000000	20192	278689	364775	212	239
ERR688612	35975029	34975029	1000000	20409	292451	420744	209	235
ERR688613	55710517	54710517	1000000	24939	286497	400363	212	240
ERR688614	40005517	39005517	1000000	13455	202978	268010	208	231
ERR688615	48728724	47728724	1000000	32862	286863	439916	209	239
ERR688616	37511211	36511211	1000000	25865	281107	413417	211	239
ERR688617	36258713	35258713	1000000	24944	278590	388122	211	238
ERR688618	43033411	42033411	1000000	22655	248728	362675	213	239
ERR688619	56133495	55133495	1000000	22795	225407	350870	209	238
ERR688620	52436229	51436229	1000000	27511	347703	376845	208	234
ERR688621	53187597	52187597	1000000	21835	294183	385110	211	241
ERR688622	37822938	36822938	1000000	17818	140136	329966	209	237
ERR688623	47198921	46198921	1000000	23311	223474	367902	210	240
ERR688624	52939255	51939255	1000000	10455	120713	352728	213	239
ERR688625	51137106	50137106	1000000	19335	201654	360376	213	239
ERR688626	49702832	48702832	1000000	14324	115577	350965	210	242
ERR688627	44607200	43607200	1000000	19927	178033	343118	207	238
ERR688628	57163670	56163670	1000000	24942	286307	352207	208	238
ERR688629	41170228	40170228	1000000	25861	235966	362068	211	241
ERR688630	44377201	43377201	1000000	15674	152355	331361	211	242
ERR688631	37677018	36677018	1000000	29770	244680	416423	210	237
ERR688632	53063384	52063384	1000000	14217	529589	493506	212	241
ERR688633	58373694	57373694	1000000	17357	177372	332303	208	240
ERR688634	48847821	47847821	1000000	21683	213336	341506	208	240
ERR688635	36993447	35993447	1000000	18108	157264	352002	212	245
ERR688636	48989825	47989825	1000000	22797	265602	361315	211	237
ERR688637	51336818	50336818	1000000	20951	108122	326474	208	235
ERR688638	60168289	59168289	1000000	11540	833516	609230	203	223
ERR688639	42761308	41761308	1000000	24521	268105	359663	211	236
ERR688640	48628449	47628449	1000000	31136	363370	454461	211	239
ERR688641	49424919	48424919	1000000	25080	247536	363074	211	236
ERR688642	54414852	53414852	1000000	26774	300093	313754	209	236
ERR688643	43635027	42635027	1000000	19135	94414	324298	209	230
ERR688644	39583150	38583150	1000000	18153	148651	330250	208	229
ERR688645	54652015	53652015	1000000	28414	243555	371089	207	234
ERR688646	47943338	46943338	1000000	18110	217094	350947	213	237
ERR688647	46298859	45298859	1000000	28870	288780	365016	208	242
ERR688648	40123433	39123433	1000000	33863	686032	344435	203	217
ERR688649	44378694	43378694	1000000	21371	255903	343280	209	237
ERR688650	56312197	55312197	1000000	27724	286642	345696	207	229
ERR688651	37227516	36227516	1000000	17660	219241	347195	208	234
ERR710415	335907	79	335828	6149	48168	108831	202	221
ERR710416	312686	18	312668	7879	47957	99868	205	219
ERR710417	281013	17	280996	5387	56180	101705	203	213
ERR710418	332524	8	332516	6572	64344	106703	200	228
ERR710419	353009	20	352989	6734	58186	111445	207	223
ERR710420	357409	102	357307	5981	70962	113628	207	224
ERR710421	493253	68	493185	13666	102869	179421	206	224
ERR710422	298911	26	298885	5574	48896	96910	204	217
ERR710423	313019	16	313003	6078	59259	102676	206	222
ERR710424	43389127	42389127	1000000	21727	159871	323957	209	240
ERR710425	33323213	32323213	1000000	28112	166903	318656	211	237
ERR710426	44354886	43354886	1000000	17986	195748	352841	212	231
ERR710427	49284568	48284568	1000000	22749	207733	323729	212	238
ERR710428	45206136	44206136	1000000	21796	178770	311500	212	238
ERR710429	35543309	34543309	1000000	19111	217305	321147	211	243
ERR710430	30830838	29830838	1000000	28016	203202	363690	210	232
ERR710431	36875157	35875157	1000000	19351	166343	324832	210	243
ERR710432	46591911	45591911	1000000	20066	198042	326663	214	239
