phylum	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
d__Bacteria|p__Chlamydiae	0	0	0	13	0	2	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	2	7	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	1	1	0	2	1	0	0	1	1	0	0	2	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	6	0	0	1	1	0	1	1	0	0	2	1	0	2	1	0	0	0	1	1	0	1	0	0	1	0	1	1	2	2	1	2	1	0	2	4	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	0	0	1	0	0	1	0	0	0	2	0	1	0	1	2	2	0	0	1	1	0	1	0	25	2	3	0	0	4	3	1	1	2	3	0	0	0	0	2	0	2	0	1	2	0	1	3	1	1	0	1	2	0	1	2	1	0	0	0	0	3	1	3	0	0	0	3	1	2	0	4	6	0	1	0	0	0	0	4	3	3	0	2	1	2	1	4	0	0	0	0	2	1	1	1	1	2	0	0	0	5	1	1	5	1	3	3	0	2	0	2	2	0	1	0	0	0	2	1	1	1	2	1	7	3	1	1	5	2	0	0	3	2	0	1	2	1	1	1	0	3	0	3	2	0	2	4	2	0	1	0	0	0	4	0	6	0	0	1	0	0	1	4	1	0	1	1	0	0	3	2	0	3	0	0	1	0	2	6	3	0	3	3
d__Bacteria|p__Chlorobi	1	8	5	2	1	11	9	8	2	3	7	2	7	0	3	5	1	4	4	11	1	2	8	6	10	8	3	1	5	0	3	1	4	4	6	3	4	0	0	7	1	4	2	0	8	8	2	1	4	2	3	2	4	2	3	0	3	7	6	6	7	2	4	1	8	2	1	2	3	8	13	7	5	3	11	2	4	8	0	4	2	9	6	3	7	4	2	7	0	6	2	9	4	2	6	4	1	4	3	6	4	7	4	9	9	15	8	6	3	7	14	3	2	2	7	3	9	3	3	18	4	16	12	3	5	11	0	2	5	2	4	3	11	1	9	0	2	5	1	1	6	5	1	0	2	2	4	6	6	5	4	7	17	14	7	3	10	7	14	7	11	9	11	10	7	10	2	7	17	8	5	11	20	3	8	0	5	6	14	5	3	3	1	3	9	5	8	5	4	3	2	3	3	5	5	8	8	5	2	6	9	1	11	6	1	7	7	6	5	4	8	3	3	8	5	7	7	12	12	12	4	9	4	5	7	9	14	14	7	13	6	4	2	7	4	9	2	2	14	5	2	8	7	9	12	3	9	11	8	12	3	17	12	4	9	10	11	3	5	5	8	7	13	15	6	13	20	8	15	16	1	6	7	8	5	1	18	0	3	2	4	3	1	3	5	8	7	3	3	9	3	2	3	4	3	1	4	0	4	3	9	6	6	9	8	5	1	5	6
d__Bacteria|p__Chloroflexi	9	4	5	1	4	4	6	0	0	5	4	5	10	4	2	1	2	6	7	5	1	9	4	12	11	12	4	1	2	3	2	2	2	7	2	9	6	8	1	8	7	5	3	4	9	2	13	3	2	0	2	2	0	3	4	1	0	0	3	15	3	1	3	3	4	8	0	5	3	5	8	3	7	12	5	3	2	5	4	16	4	3	24	1	7	7	1	7	1	2	2	7	7	3	2	10	2	5	3	5	3	4	3	5	12	14	10	5	8	3	4	11	3	10	27	11	7	6	8	8	10	5	5	3	3	9	0	7	14	3	5	4	4	0	8	1	2	5	8	2	4	5	1	0	3	0	3	3	5	10	1	8	6	1	11	13	8	6	6	7	4	6	4	3	3	10	3	10	11	9	12	5	3	1	3	4	5	7	4	3	1	17	3	11	2	10	11	5	4	6	2	7	5	2	4	0	7	4	2	10	5	2	0	2	11	13	4	2	8	4	4	1	5	8	8	15	5	11	2	12	10	16	9	6	21	7	6	3	8	12	8	9	7	7	8	4	6	2	2	5	1	6	1	14	8	7	1	7	9	12	7	14	11	3	4	15	2	8	25	34	2	4	13	8	12	15	23	10	7	12	2	9	16	7	10	8	3	0	4	4	1	6	13	8	2	13	3	0	15	4	9	2	2	1	1	3	3	0	4	3	6	2	7	4	5	8	3	3	8
d__Bacteria|p__Chrysiogenetes	0	5	1	7	1	0	1	0	0	1	0	1	0	6	0	4	0	2	2	1	1	1	2	2	2	3	0	0	1	0	3	0	0	1	0	0	1	1	0	2	0	0	9	0	0	2	4	0	4	1	7	1	1	7	0	0	0	0	1	1	2	0	1	0	3	2	0	4	4	0	2	2	2	0	1	1	0	2	0	1	0	2	3	0	1	1	0	3	3	0	0	0	6	0	0	4	4	7	0	6	1	5	2	2	1	1	0	1	2	1	0	1	0	1	0	2	1	1	0	2	0	1	3	2	0	3	0	0	0	1	0	1	0	0	3	0	2	3	3	1	0	3	0	0	3	0	0	0	5	6	2	0	0	0	0	1	6	3	1	3	0	7	1	1	1	0	1	2	2	3	3	1	0	0	1	1	5	0	0	0	0	4	1	3	0	5	0	0	7	0	0	0	3	1	5	0	8	3	0	3	0	2	0	0	0	1	0	4	0	0	1	6	0	6	1	1	2	4	3	1	6	1	3	0	1	2	1	0	0	1	0	0	3	0	0	0	5	0	1	3	7	3	0	1	2	3	0	1	3	0	0	3	3	2	0	0	2	2	3	3	0	0	1	2	2	1	1	3	1	2	0	1	0	1	3	0	0	0	4	0	0	3	3	3	0	1	2	0	0	2	1	1	0	0	1	0	1	0	0	3	1	2	0	1	5	5	3	1	4
d__Bacteria|p__Cloacimonetes	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3
d__Bacteria|p__Cyanobacteria	13	16	14	14	16	25	25	8	17	19	14	16	29	15	5	14	8	11	21	27	11	18	26	37	33	11	1	6	6	5	16	6	14	29	14	13	7	9	4	65	9	26	6	5	8	16	32	12	19	3	11	19	8	15	30	3	6	10	6	12	21	6	10	10	12	6	5	6	10	18	23	20	22	17	25	7	11	20	4	8	8	14	8	9	40	14	8	12	22	3	12	16	25	17	15	33	7	20	10	14	14	9	7	18	25	28	16	11	12	23	7	7	13	15	25	3	12	14	11	33	11	19	12	6	14	22	4	17	24	10	14	12	5	1	13	8	6	7	7	12	12	10	9	3	6	7	15	13	19	29	26	11	13	16	12	46	30	32	33	35	9	37	19	21	36	35	25	23	33	34	34	24	1	14	17	9	15	20	16	21	8	32	10	10	6	63	19	44	26	10	6	19	19	11	29	9	34	27	4	44	27	5	3	15	10	25	31	17	26	24	31	14	13	15	22	36	28	28	25	19	20	15	37	9	14	23	41	13	37	12	7	21	35	6	15	20	17	21	23	22	19	17	18	28	20	18	5	31	29	37	18	29	23	44	14	20	18	29	39	9	16	25	25	38	18	34	36	18	23	53	3	19	22	17	35	20	16	1	13	15	8	22	18	17	23	20	20	0	16	14	19	9	7	5	13	5	15	8	10	11	34	18	14	33	26	32	13	22	19
d__Bacteria|p__Deferribacteres	0	1	0	0	1	1	0	3	2	3	0	0	0	1	0	2	1	3	0	0	0	2	2	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	6	0	1	0	0	0	0	1	0	0	0	1	0	0	8	0	1	0	0	0	0	0	1	1	1	0	2	2	0	1	2	0	2	2	0	1	0	1	1	0	3	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	2	1	5	1	1	0	0	0	1	2	0	0	0	2	1	0	0	0	0	1	0	1	1	0	0	2	7	0	2	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	3	1	1	2	1	4	3	4	0	1	0	1	2	2	0	1	4	1	0	1	1	2	1	2	0	1	0	0	1	0	4	0	1	0	0	1	0	1	1	1	3	1	1	1	0	0	0	3	0	3	2	3	1	1	0	0	0	5	1	0	0	0	0	0	1	4	0	0	0	3	1	0	1	0	1	11	2	0	1	0	1	5	2	1	1	4	0	0	0	4	1	0	1	0	1	0	1	0	0	5	2	2	0	0	2	1	5	4	0	1	2	2	0	1	1	1	1	0	2	0	1	0	3	3	0	0	1	3	0	2	0	0	3	1	0	1	5	8	1	0	1	0	1	1	0	0	1	4	0	0	3	0	0	0	0	1	2	1	0	0	3	0
d__Bacteria|p__Deinococcus-Thermus	5	12	17	12	17	12	23	7	5	23	19	14	17	18	9	12	4	13	29	8	2	18	10	28	47	25	2	3	32	2	10	10	1	26	4	16	9	9	5	49	13	12	4	22	5	20	44	7	14	8	14	26	1	15	19	10	4	5	5	28	34	10	9	6	10	12	1	5	10	13	17	12	24	24	23	10	8	23	7	4	14	14	13	2	49	14	8	25	17	8	9	19	22	2	10	30	6	12	3	13	21	15	3	17	16	40	30	15	11	29	12	25	9	14	20	15	21	24	19	41	9	30	24	6	10	19	2	13	26	12	10	6	6	0	8	9	3	10	5	9	3	10	7	5	6	7	5	10	24	17	19	13	35	9	4	23	25	27	26	15	17	24	5	18	42	24	7	43	33	39	29	23	3	8	35	4	12	10	3	22	3	27	13	6	13	61	24	28	15	22	3	24	32	4	14	14	32	29	1	38	26	6	2	9	3	19	23	30	27	6	20	18	0	12	29	24	19	18	17	32	14	14	24	6	10	28	29	6	58	15	6	28	40	8	14	18	5	1	17	15	19	9	5	29	29	17	1	18	24	39	16	17	25	42	14	24	28	26	28	18	12	20	20	23	13	30	30	16	6	29	2	10	18	14	33	16	9	1	15	7	11	9	6	11	4	16	15	1	8	8	21	7	7	3	6	7	9	4	5	1	18	16	5	30	21	29	11	15	20
d__Bacteria|p__Dictyoglomi	0	1	0	0	1	12	0	3	0	1	0	1	0	0	5	1	2	1	3	0	0	0	0	6	1	3	1	0	0	0	2	2	0	1	2	0	1	0	0	0	3	3	1	1	0	0	4	1	2	0	1	0	0	1	0	1	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	4	1	0	1	0	0	0	0	4	0	0	3	0	1	1	0	2	0	3	0	1	0	0	0	3	0	0	0	2	0	1	3	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	0	1	1	0	1	0	0	0	2	0	1	1	0	3	1	0	1	10	2	3	0	0	0	0	1	1	2	6	1	1	1	0	2	0	3	3	4	0	3	0	1	0	2	3	1	3	1	1	0	0	1	0	9	1	6	0	0	2	2	0	1	0	7	1	0	1	5	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	2	3	0	2	1	5	0	1	0	1	0	0	0	3	1	0	1	2	1	0	4	0	3	0	2	2	3	1	1	0	5	2	1	0	2	2	0	0	0	2	1	0	0	0	0	2	1	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	1	2
d__Bacteria|p__Elusimicrobia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	4	0	0	1	1	5	0	3	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	1	0	1	0	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	2	0	0	0	2	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
d__Bacteria|p__Fibrobacteres	1	2	2	0	1	1	0	1	0	0	3	2	0	1	0	1	0	0	2	1	3	3	3	3	6	2	0	0	0	0	0	0	0	0	0	2	1	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0	1	1	2	1	4	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	3	1	0	2	0	1	1	0	1	0	0	0	2	3	3	0	0	0	0	2	0	5	2	3	0	0	2	1	5	1	0	0	1	2	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	3	2	6	0	0	0	2	0	3	2	1	0	2	4	1	2	0	0	0	0	3	0	1	0	0	4	0	0	0	2	5	2	1	0	1	0	1	0	0	0	1	1	0	6	1	0	0	0	1	5	2	0	1	1	0	0	0	0	0	8	2	7	1	2	2	0	0	0	0	1	1	0	3	3	1	0	1	0	0	1	0	1	0	1	1	2	1	2	0	1	0	0	2	3	1	0	1	0	0	3	2	4	2	0	0	0	3	2	2	4	3	3	0	2	0	1	5	0	2	3	1	0	3	0	2	0	0	1	2	3	1	0	4	1	1	0	1	0	0	0	0	0	1	2	3	1	0	5	2	1	0	3	0
d__Bacteria|p__Firmicutes	45735	123511	138050	49543	104427	79688	66770	97756	25338	77735	30103	62165	18612	90321	135415	112903	48784	55984	148151	23539	44723	102339	53866	86128	108711	130016	51080	61315	83142	28544	164215	77641	56479	156505	267511	77968	66333	256982	11965	98081	43310	112095	53729	78142	114848	128133	85837	156422	51622	92693	89968	106375	182695	33651	63024	33017	289731	73693	189454	96912	103453	74816	24972	64273	35273	50459	57071	74049	40616	27562	52742	54482	48853	53455	67401	18258	26835	42857	24414	111486	52486	51938	73720	131335	61999	85481	90759	71381	59066	71936	58883	78548	161310	160415	140393	93885	70601	104294	101204	34965	59374	173664	156548	105943	72133	63881	132478	48745	110758	95380	69627	92810	59530	52454	80348	174502	120791	63938	75197	58754	69664	35502	61407	73805	43506	45832	40041	43957	72265	77938	23705	139950	27483	12190	73313	94932	54864	42759	28690	13243	54368	104458	51376	7690	68547	35077	68354	159177	216809	92615	160839	94443	115985	142473	69811	153648	94038	150864	35224	161203	233575	232253	140556	149604	224568	47413	160829	185521	129844	115217	139411	211792	149060	126801	142906	49193	275940	187687	120661	195353	327907	179359	115674	348893	37477	144222	134083	207975	173030	101874	128394	212709	114073	250449	97396	130847	187654	240135	250504	113694	90111	58476	270775	128456	302933	116735	130573	224050	84934	176024	63338	104352	136129	186601	120006	91798	91056	130372	85008	99762	48096	79523	74223	39686	210211	125780	110032	279936	70523	178334	194334	113093	152003	137295	104677	120741	233630	257508	217796	122144	225225	194771	221727	97114	117895	318769	199310	182084	117101	87110	226757	128708	178275	166015	129500	163425	138115	110202	138747	287829	179040	109484	137731	70885	153172	58338	110536	205286	97456	82337	54446	65313	96452	166490	78504	235896	70002	18099	146739	204743	158569	102712	55166	31159	71664	133253	192002	19189	147920	79514	160671	28943	19422	29133	39579	37837	52075	76173	35745	20967	101913	65994	115742	123379	122269	163333	160212	125957	77000
d__Bacteria|p__Fusobacteria	1	10	6	8	10	21	4	6	117	5	10	2	8	4	5	4	2	7	5	5	3	11	2	9	11	6	1	2	6	40	5	23	3	9	4	1	2	6	1	4	4	6	10	9	49	3	11	3	11	1	8	2	0	1	6	10	3	2	8	8	10	8	0	15	119	34	14	2	0	16	24	56	13	7	24	2	44	99	175	4	1	3	5	2	8	4	6	20	4	2	1	3	10	4	9	1	4	9	5	3	5	1	7	1	8	9	7	2	16	3	3	7	1	534	1	5	5	10	2	4	6	6	4	1	10	2	5	9	5	4	4	29	26	7	3	7	0	3	3	0	35	11	24	5	18	9	7	15	10	34	21	18	5	4	508	10	9	10	18	4	13	9	15	8	17	8	19	12	10	17	24	11	1	3	12	134	12	109	1	27	8	8	6	9	3	7	21	35	33	12	67	8	12	12	14	4	12	18	3	25	15	34	1	4	24	10	23	12	13	35	303	108	52	6	5	119	56	188	38	9	2	176	254	705	6	7	10	7	10	19	5	40	12	5	5	5	18	7	12	7	6	8	14	6	6	3	2	13	7	13	20	3	18	3	5	6	10	1573	3	10	8	22	3	4	11	12	12	4	19	15	4	6	12	24	14	55	159	11	7	12	3	7	5	1	194	14	141	17	63	17	16	3	0	3	3	0	7	14	3	4	6	3	3	10	7	19	25	9	35
d__Bacteria|p__Gemmatimonadetes	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	1	0	0	1	3	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	1	0	4	0	0	3	0	0	0	0	0	0	8	0	0	2	0	0	0	1	1	0	6	2	0	0	0	1	0	2	0	2	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	8	2	2	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	3	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	8	1	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	4	2	1	0	0	2	3	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	1
d__Bacteria|p__Ignavibacteriae	0	0	1	1	2	0	0	0	0	1	1	0	3	3	0	1	0	0	1	3	0	1	1	1	3	0	0	0	0	0	0	1	1	3	1	0	0	1	0	0	0	1	1	0	0	1	9	2	0	0	0	1	0	0	2	0	0	0	1	1	2	1	0	0	2	0	1	1	0	1	1	1	0	1	0	0	1	1	1	2	0	2	2	3	1	0	0	3	3	0	3	1	2	0	5	0	0	0	1	0	1	0	0	0	1	1	0	1	4	0	0	1	0	3	0	0	1	0	0	2	1	1	1	0	0	1	0	2	0	1	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	3	0	7	1	1	0	0	1	2	7	3	3	3	2	2	1	0	1	0	0	3	4	0	1	1	1	2	1	0	0	1	2	3	1	0	0	17	1	3	0	0	1	1	0	7	1	0	2	0	0	1	1	1	0	2	1	3	2	0	1	1	0	0	1	0	1	3	0	2	1	3	0	0	0	0	2	4	0	1	0	1	0	3	1	0	0	5	1	0	0	0	0	0	4	2	2	5	1	1	0	0	5	2	3	0	1	1	5	3	1	4	1	0	1	0	1	1	1	3	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	3	3	0	0	3	0	0	0
d__Bacteria|p__Nitrospirae	0	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	3	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	4	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	1	2	0	1	3	0	0	2	2	0	0	5	0	0	1	2	1	0	0	0	1	0	1	1	2	0	0	2	0	1	0	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	1	0	0	2	0	2	3	0	2	0	0	0	2	0	2	0	0	0	4	1	0	0	0	2	0	2	0	0	0	2	1	0	3	0	1	6	1	1	2	0	1	0	1	2	0	0	0	0	0	2	0	0	1	1	0	3	0	3	0	1	0	1	0	0	0	0	4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	2	0	1	1	0	0	1	0
d__Bacteria|p__Planctomycetes	1	7	3	4	12	2	3	8	2	2	9	2	7	5	7	13	5	6	10	7	3	0	5	6	5	11	0	2	9	0	7	1	2	7	2	1	1	4	1	17	11	8	1	3	1	6	5	2	2	0	9	3	6	3	2	0	0	1	5	2	7	2	4	1	5	0	4	10	9	7	2	7	5	4	6	0	8	6	4	5	2	4	5	2	8	1	14	9	3	0	1	6	4	0	6	5	2	8	7	3	5	3	0	3	5	8	1	4	7	2	3	4	4	4	11	2	1	4	1	19	3	4	4	6	3	5	1	5	4	0	6	2	2	0	7	1	2	2	0	0	7	2	7	0	1	4	0	6	4	11	15	1	12	4	6	8	19	8	5	0	5	10	13	5	9	14	5	7	8	3	9	3	0	3	3	1	11	1	4	8	4	7	1	1	2	14	4	8	11	2	0	4	3	5	4	1	8	3	2	8	4	1	0	4	9	4	10	5	1	8	11	3	9	15	12	5	4	9	4	3	6	8	11	0	9	9	5	5	5	2	18	6	14	1	4	2	2	0	5	2	7	12	5	8	12	3	1	7	4	14	0	9	8	9	1	6	4	3	6	2	2	8	0	9	1	9	6	5	6	6	1	3	0	2	4	1	2	1	6	1	4	5	1	1	2	2	5	0	4	0	1	1	3	0	0	0	3	3	2	3	8	5	3	3	2	7	1	3	5
d__Bacteria|p__Proteobacteria	545	827	1049	529	558	2617	4021	395	124026	672	951	32961	3069	416	374	822	260	1020	851	8195	1320	1318	1188	2205	1975	472	31562	58938	1331	442336	1176	1641	466	2297	363	4327	98020	640	73949	5632	17765	1105	663	230065	17701	551	2423	489	2048	3677	677	1058	224893	499	28393	440939	9457	87331	3403	22818	5221	316	19302	1031	8585	71718	2390	467	2683	877	1704	463	94051	1823	949	103457	4323	1517	53531	342	1869	533	518	441	1156	5069	498	2172	587	650	262332	1390	942	7019	1711	29441	719	347	658	12036	2616	808	6350	658	1461	1425	1334	48283	28392	1254	1082	16033	760	3226	1183	480	95779	879	612	32669	712	2301	781	777	6324	3001	131383	309304	1847	2596	1034	7309	408	660080	3130	66365	2851	14669	1994	1177	29534	510	4460	655	3567	3569	13868	584	830	871	637	2119	5722	355	241087	583	2170	72316	3651	430	423	1195	364	860	815	15913	1975	1962	1714	2018	1533	449	50330	77896	1355	607012	972	1634	346	993	227	9129	115415	564	150561	5027	47079	1287	952	247819	12264	414	2795	357	2480	3747	1057	1576	246623	857	40965	489359	7699	126527	3448	24814	4881	494	52488	862	11539	120309	3647	749	4153	642	2054	548	140859	2305	242805	9992	1230	78181	491	2993	771	260	963	8918	416	1680	812	664	397422	658	739	8478	1605	26042	1311	420	786	33151	3731	647	6160	732	2191	1172	1087	111273	39130	1559	1281	24168	915	4614	1253	608	95437	478	678	35754	809	3228	932	1119	10882	2973	164130	409811	982	4356	2265	8416	601	799398	5584	97192	4524	21655	1719	506	45409	405	9681	345	4962	2086	25286	669	529	338	287	615	2979	3546	271	1153	1605	1482	875	560	1610	7314	6042	583	3312
