order	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	5.5523	0	1.33838	49.22189	0	2.97357	0.19873	3.29041	0.72149	0	0	4.9346	1.37269	1.89987	9.02031	0	0	12.65631	0	0	0	0	0	0	0	0	0.51437	8.59211	3.08437	12.24448	0	0.20685	0	0	0	0	0	0.72149	6.12562	0	5.34766	0	0.04707	4.28689	3.80968	0.96206	15.10534	0	0	0	2.91326	0	34.19994	0	11.15523	0	2.32495	0	0.54675	0	6.37245	0	0	0	0.20296	0.5932	0.89302	0.38307	0	6.67758	0	0	0	2.69937	0	0	0	0	2.16738	0	0.90569	0.75825	3.12925	0.14327	3.94069	9.43325	0	0	5.6917	0	1.48519	0.64771	5.45488	0	0.00993	3.67056	2.72311	0	0	0	1.8694	1.03692	0	0	0	2.31298	0	0	2.85955	0.95693	0	0	0	0	4.33239	9.38849	0	0	16.57812	0	5.57798	0	0.86409	0.0914	0	0	0	0.13539	0	9.56472	0	0	0.07	0	0	1.58061	2.37858	0.91307	0	0	0	0	30.0554	0	0	0	6.56456	0	0	0	0	0.0664	0	0	0	0.36803	0.08206	0	1.07567	0	1.27792	0	0	0	0	0	1.61741	1.33055	0	0	0	0	0	0.07961	0	0	0.26332	0	0	0	0	6.48639	0	1.22373	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273	0	0.48343	0	0	0	0	0	0.74285	0	0	0	0.66289	0.1392	0	0	0.01066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05598	0	0	0	0.0562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04636	0	0	0.35512	0	0	0	0	0	0	0	0.10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	11.4192	0	5.66691	0	0.55939	2.67312	0.7652	18.39587	0	14.38427	3.65498	2.73749	0.83398	13.18358	0.17653	0	7.33588	14.96888	2.31315	9.1339	0	0	2.60574	0	0	0.11757	10.98243	13.37684	0.53647	0.54769	1.42177	0	55.49172	0.86893	0.17395	3.58415	11.03633	0	0	4.74721	0	0	0	0	50.25841	0	0.30245	3.69061	1.51755	0.22872	0.08386	1.22386	0	0	3.02008	0	15.42176	9.37902	0	0.01259	0	0	25.0708	6.16692	15.03578	0.33905	0	3.18041	0.09142	7.07934	0	0.66806	0	4.08115	9.68755	0.08702	0.14682	0.0756	0	0.27121	11.23478	0	0	0	0.13405	1.00424	12.40727	0.80836	2.89422	3.11707	5.30912	21.86633	0.93292	0.52617	0.26618	0	0.04324	3.59185	0.56448	0	0	0.35927	8.65172	1.46079	2.21109	0.21132	17.80937	8.04313	1.97458	0.08801	0.76083	0.56616	1.22259	0	1.13158	0	5.62531	0.5534	6.82471	1.01084	0	0.02637	2.47299	29.94361	6.6478	1.52764	2.65275	0	2.52578	0.25462	0	1.99883	2.57475	0	0.01029	0.15053	2.1424	0	0	14.91514	13.56165	17.27108	0	0.34543	0	0	6.12834	0.38634	5.8729	8.12063	4.81537	4.09195	17.78526	0	0	3.60849	3.28265	4.8454	0	1.05627	1.47392	1.17476	4.08853	0.79931	2.67399	0	0.72473	8.21377	0	7.67631	0	1.8846	3.67595	13.77065	4.68965	2.00415	4.49579	8.48766	0	2.37555	0	0.19742	0	2.51499	0	6.66625	16.60395	3.2332	0.8319	0	0.65562	0.99488	2.24218	0	2.3292	0.50204	2.07433	13.71375	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0	0	1.24393	0	0.46035	0.26554	1.9576	0.63688	0.49629	1.13792	1.17133	3.21786	0	0.15289	0	0.28243	0.6093	2.1166	1.99004	3.4332	0	0.289	1.6604	0	0.19168	0	3.69794	2.47773	1.55179	0.72454	0.17856	0	1.69853	0	0.80657	0.28359	1.9615	1.80983	0.34211	1.08389	2.47997	2.06745	0.19142	0	0.22831	0.20865	0.88815	3.63439	0.39941	0.62113	1.04949	0.4121	0.25424	0.41485	0	0.16002	0.91316	2.34825	0.01964	1.35035	0	0.11449	0.94592	0	0.98293	0.1901	1.1806	0.58085	0.90388	0.17515	0	1.13352	0.46642	0.33788	0	0	2.45615	0.25045	0.12272	0.29433	0.18703	0.3429	33.1167	1.22734	0.25316	0.06696	1.53824	0.05326	0.01815	1.26381	0.49126	1.34563	2.549	1.74856	0.08909	0	0.60769	1.35355	0	1.19573	0.15852	0.51986	0	0.32477	1.13964	0.23872	0.64984	1.75844	0	0	0.82855	0.17553	1.78767	0.1899	3.26304	0.09426	1.27413	3.4072	0.58224	0.45927	0	0.30804	0	3.87222	1.05465	0.17732	2.28527	0	0.56688	0.50294	0	0.14053	1.99663	0	0.17058	1.86076	0.04575	0.50795	1.1097	3.14797	1.65432	0.44423	2.09911	0.14763	0	0	0.43106	0	3.96687	0.38741	3.98616	1.53486	1.95677	0	1.72048	2.80826	0.35009	0.0103	0.5867	0.33948	0.59519	0.14344	1.10999	0.50597	1.13515	1.17472	0.30218	0	0.14424	1.44763	0	1.61157	0.85162	3.59455	0.58401	1.69932	0.02817	0.10753	0	0.297	0.69137	0	0.07553	0.44651	0	0	0.87389	1.1785	0	0.12509	1.99671	0	0.30165	0.16742	1.19208	0	0.03932	1.01374	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	19.31055	77.77983	13.26308	53.43959	24.88859	23.64871	12.46465	34.35009	14.18991	15.99414	36.76948	39.49079	43.80094	23.22592	32.86319	17.71372	33.6109	16.29162	23.33735	10.20653	74.13952	24.63023	19.44321	29.31449	48.69148	0	26.38517	47.41282	24.30865	44.55188	26.48464	29.09793	8.86488	11.97631	13.74925	3.55407	24.37315	26.85069	46.23255	0.62703	62.45352	31.26714	27.52333	17.94528	0.02358	36.78963	46.51501	3.77312	12.74475	39.05474	23.10238	34.66491	6.77926	14.64068	22.20082	45.21831	3.78162	30.37374	19.94029	21.77999	52.16344	24.65355	28.66133	44.59135	22.17022	3.05376	71.483	4.67939	37.69461	16.50786	29.0632	31.64486	49.6503	86.46153	33.6326	66.90412	27.87187	56.90196	40.90668	18.79298	15.24043	42.62844	0	21.1216	68.48241	19.95757	17.82616	14.939	53.53568	46.35684	32.87213	15.87994	20.74606	22.60886	34.10118	31.18387	15.11851	0.15833	17.48006	24.53522	36.92074	51.21461	36.64919	30.89682	20.66311	52.65695	7.73853	23.69541	45.53261	61.36194	16.17816	47.06646	21.5303	30.74576	23.50007	25.77219	40.33731	34.42719	23.56265	10.05656	25.46681	44.88648	22.59915	12.19171	21.71661	29.03799	2.46978	35.59598	12.54816	20.45914	74.11908	35.4667	55.16861	67.71829	21.58449	24.00312	70.45415	22.45739	65.20141	40.23839	12.46796	11.45907	43.25576	40.31004	50.41213	64.06617	32.43122	17.76813	20.49802	21.36332	22.07367	2.47253	45.14854	54.61886	39.44308	37.25385	57.55425	42.89164	34.91239	34.64611	15.79007	29.76577	33.0764	10.31287	55.06026	23.96667	35.78047	38.59828	14.7681	38.93281	47.45718	22.86378	27.31081	25.70844	12.57252	56.25475	61.27085	18.55459	53.97144	44.08405	52.34458	35.30333	39.48244	39.01277	45.28974	38.48983	20.81916	38.27264	20.21035	56.05994	50.75473	50.35665	35.79721	80.13171	54.19969	36.60538	49.76406	27.98722	55.15783
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0.08795	0	0	0	0	0.46291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54616	0	0	0	0	0	0	0	1.29472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11599	0	0	0	0	0	0	1.15233	0	0.03145	0	0	0	0	0	0	0	0	0.27127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01116	0	0	0	0	0.08293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0	0.21278	0.92638	0.5212	3.14353	4.61772	0	0	0.15921	0.35775	10.01343	8.39443	0.01552	1.70665	1.82594	11.74645	0	3.13118	0.66233	12.40966	0.12176	0.04926	1.79855	1.06055	5.24836	1.59585	0	0.01456	23.80588	2.02723	19.91167	0	2.3012	2.92013	8.97812	4.38604	0	1.95156	0.12043	11.90029	0.15789	0	0	0.1469	1.7948	0	0.07112	24.0278	1.84694	0.12652	2.36696	0.23242	1.5814	1.48058	3.64588	4.92217	2.48371	0.01166	0.27128	0.02108	1.66327	1.64865	0.78451	0	0.37504	63.11411	0.01212	4.6892	3.0037	0	0	8.63604	3.36086	0	0.02398	0	10.93723	0.9916	0	0.32986	1.80485	3.62418	3.68899	3.79352	0	1.63259	0.5022	5.9225	0.31929	0.04951	0.71043	0.09927	28.53413	4.12753	0.22798	2.01914	1.51282	3.42926	8.73056	9.17488	0.1498	2.9746	43.84424	3.53881	4.50301	0.23945	4.35028	1.37935	4.62549	0	0.87095	10.16195	1.65362	1.14092	0.36706	0.06053	0.77477	0.26299	0.5322	0	1.95969	2.04593	0.6467	1.04112	4.96214	0	3.16151	0.26216	4.72851	0.53303	0	0.01566	0.04783	0	3.22635	0	0	12.62698	1.11652	2.48348	22.23129	4.46682	0	0	0	2.78413	16.221	0.34661	1.59379	2.12833	5.29407	0.50068	0.10788	0	4.18406	0	0.47452	0.01536	0	0.25647	0	2.81305	2.98675	0.74807	0	0	0	0	0	0.78036	0	0.05986	0	0	0	0	0.05527	0	0.30866	1.05967	0	0	0.01411	0.57079	0	0.10986	0.20115	0.7598	0.84529	0.35286	0	0	0	0.27124	0	0	0	0.09625	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	63.13082	20.70251	62.10788	44.32352	61.69905	58.72407	76.55765	40.12196	23.75421	61.45069	43.16959	39.50068	50.91721	29.40363	60.02067	69.97712	41.51718	49.63652	67.08489	40.65346	19.12311	36.27441	19.94962	68.29145	34.51594	59.87861	48.33342	20.35418	16.11533	48.73092	43.81082	68.0602	22.72475	75.9834	56.97937	87.46965	39.09103	55.13052	43.4827	77.35874	7.24607	34.89034	42.74297	66.75381	45.66017	56.14792	19.12602	49.66295	75.54062	44.428	69.53474	41.24074	38.18901	83.16069	71.13322	38.35492	58.67656	7.74006	73.70121	60.43402	26.5464	69.84641	34.69779	43.91772	59.99542	25.25975	23.44875	82.00113	56.14481	15.65067	66.9501	52.91275	40.63269	7.42463	41.01096	27.70113	45.74588	36.78915	51.0632	73.24647	70.99896	41.52818	58.71297	68.17894	26.36009	73.53072	55.28653	68.91169	34.9835	38.92145	42.39082	57.57323	38.77076	57.94038	64.62368	63.4167	63.95139	84.52685	65.5076	33.91877	52.07579	27.82341	8.0083	41.04644	69.9683	39.92781	56.88832	50.11085	47.86732	32.86087	76.38218	7.83679	55.60341	51.12907	33.6773	65.35666	51.73331	40.32861	62.23679	73.44534	49.60264	51.76948	72.04816	26.37573	61.24144	54.18988	86.64884	62.33581	77.55102	49.93728	23.5905	50.67168	29.74264	27.56456	55.52768	21.35962	24.55677	58.41588	30.40202	26.60211	39.62237	52.53591	41.89974	55.38163	45.54741	20.68161	38.80119	48.12592	62.95726	63.62264	49.46035	82.1697	28.00858	43.39947	47.36423	43.70271	28.14439	47.88818	58.55341	60.95174	30.73783	63.82629	38.53764	82.25465	36.48289	57.55798	54.48179	43.64569	59.46302	45.19862	36.98943	63.05365	64.55964	44.79887	79.57571	26.59464	27.35495	64.32523	44.72207	46.7583	43.37527	40.4255	54.55581	47.40703	21.50297	41.24615	48.88545	54.53974	64.99092	37.55592	45.87062	41.75454	60.95481	19.19944	38.55978	49.09394	43.12086	50.9382	41.7931
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0	0	0	0	0.10996	0	0.1745	0	0.47287	2.20391	0	0.39549	0	3.73424	0.13161	0.04846	0	0.31759	0	6.73027	1.49146	0	5.66506	0.06582	1.00429	2.06858	5.33005	0.58622	6.40512	0	0	0	0.03867	0.9155	1.62858	0.06191	23.29999	0.35277	2.537	0	0	0	0	0.01025	0	0	0	13.70531	0.82148	0	0	1.8683	0.44101	0	0	1.39599	0	1.53539	0	0.53655	0	0	0.85628	0	0	0.04863	3.42534	0	0	0	0	0.11429	0	0	0	0	6.42597	0	4.75888	0	0	0.11576	4.41223	2.09076	0	1.78114	1.14871	0	0	4.53906	0.22228	0.17026	6.76247	0	0	0.10162	3.53295	0	0.16167	1.90975	1.52359	2.73289	0.01466	1.07403	0.02052	0	1.35519	2.83135	0	2.44953	0.95426	5.43737	16.1475	7.93206	1.59671	0.15565	0	10.25445	0	0	3.42841	0	1.86763	3.01316	0	5.32439	0	0.6908	0	0.73425	0	0	0.48818	0.1353	5.78581	0	0.11688	0	0	0.93018	4.13706	1.82514	0	0	0	1.24411	3.37666	0.86947	0	0	0.93754	0.98625	0.21536	0	0.27768	0	2.40797	0	3.78078	0.1452	0.91327	0.38926	2.39031	1.555	0	0	0	0	0.127	0	4.06488	0.70637	0.30492	3.71203	0	2.02168	0.27576	0	0	0	0.48907	0	0	0.17485	0	0	4.6067	0	0	0.92815	0.15915	0	0	0.0487	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.78722	1.30488	11.69652	0.02357	0.11912	0.98888	7.47563	0	0	3.38554	0.94521	3.06457	0.84603	1.77168	2.70745	0.05889	1.38145	8.85502	0	0.66512	3.1231	0	0	0.76959	5.77328	32.10819	5.10499	3.60942	19.80522	2.15081	2.82247	1.24793	0.13666	3.23961	3.12978	0.12727	0	4.44108	3.98134	0	0	0	1.89693	5.22269	1.55204	0	30.02189	0.70565	1.08108	9.21113	1.42981	0	3.36978	0	0	5.20162	0	0	2.02841	0.64589	4.2861	0	0	0.85457	0.58723	0	0	2.66088	0.33096	0.23642	2.01464	0.49106	0	1.278	7.84596	0	2.18698	3.28874	0.15791	4.3622	0.48881	11.76055	0	0	0	1.12109	10.53264	0	2.33802	0.76798	0	0.42623	1.16872	2.68678	0.25509	0.29238	1.13459	0	3.7028	4.4267	0.83684	0	0	2.42263	0	1.33733	0.08424	2.30611	0	2.11022	1.58256	5.28362	1.67232	5.34548	35.5073	6.87404	0.06129	10.2995	5.02796	4.25779	1.79888	0.35335	0.34792	2.18832	1.86696	0	2.26448	0	1.92552	24.58981	1.8968	5.32168	5.63363	2.20322	1.9823	10.07793	0	0.64901	1.57572	1.67935	2.32857	8.64425	4.64298	0	1.41603	9.22573	2.5437	1.1108	3.62653	2.09633	11.61187	0.10428	6.5436	1.98167	2.06472	0	4.95445	0	0.5961	0	32.07551	0.45964	14.96397	0.96636	0	0	7.1771	3.7338	23.53524	3.34503	11.06799	0.58129	1.70734	7.79147	2.13037	9.82107	4.29449	8.52499	0	0	0	3.05552	3.29789	0.89183	0.50004	2.88528	1.52331	0	11.63757	2.52562	0	4.46779	0	0.04648	0	0.15819	4.6338	3.54903	0
