phylum	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
d__Bacteria|p__Chlamydiae	2	0	1	2	0	1	0	1	9	0	2	0	0	1	1	0	0	0	3	0	0	0	5	0	1	1	1	1	2	2	0	1	5	1	1	0	0	1	1	2	0	0	4	1	0	1	0	1	1	2	0	9	0	0	2	2	0	2	1	1	0	3	2	2	0	0	0	0	3	4	2	0	1	0	3	0	0	1	1	1	1	0	1	1	0	6	0	0	1	2	3	1	0	1	1	8	2	1	1	0	0	0	2	0	0	2	0	3	3	3	0	0	3	0	0	0	2	0	1	1	1	0	1	2	1	2	0	0	0	0	1	5	0	0	2	0	0	3	0	0	0	1	10	3	1	0	0	2	0	0	0	3	0	0	3	2	1	2	1	0	0	0	2	2	1	3	0	0	0	0	3	4	0	1	0	0	0	0	0	1	1	3	0	3	0	0	0	1	0	1	4	1	0	0	0	1	0	0	1
d__Bacteria|p__Chlorobi	7	0	6	14	3	6	5	5	6	4	6	4	13	2	1	2	18	20	8	6	10	4	4	3	9	4	5	9	4	9	2	11	11	2	9	7	5	8	3	4	3	6	6	0	8	10	3	2	5	3	8	7	2	3	5	4	6	7	3	5	1	9	12	12	2	6	1	5	5	11	1	4	9	8	8	10	5	7	6	1	2	6	11	5	7	3	3	3	4	6	3	3	1	5	7	4	0	1	3	4	5	8	5	4	4	7	2	5	11	12	4	1	6	14	9	7	1	11	8	9	0	4	8	12	8	5	6	1	7	4	4	18	5	3	9	16	17	7	8	5	9	6	15	9	1	14	2	3	5	10	3	9	3	2	5	0	6	20	7	6	10	5	2	7	10	12	3	7	4	4	2	11	2	11	7	1	11	3	12	9	9	6	4	3	10	8	14	5	4	3	2	2	10	13	3	9	2	9	3
d__Bacteria|p__Chloroflexi	4	0	11	4	6	4	4	8	3	4	12	11	1	5	6	2	10	7	1	1	10	7	1	3	12	0	6	10	4	5	8	0	2	5	4	1	13	4	8	3	7	4	9	0	9	13	2	4	2	6	3	18	8	6	2	3	4	11	5	7	3	4	7	6	4	6	2	1	1	5	4	2	3	0	2	10	6	3	4	4	2	9	42	14	8	2	3	1	8	12	11	8	2	1	9	0	5	2	4	6	11	0	1	4	0	1	6	21	8	4	0	0	3	2	10	6	4	12	5	10	2	1	4	3	3	5	3	1	2	11	1	13	2	0	16	20	18	3	9	3	3	3	22	10	1	6	2	1	1	3	9	11	3	0	4	3	4	4	7	2	14	3	3	4	10	2	3	1	4	7	1	7	8	7	7	6	2	5	8	7	2	4	3	1	6	8	6	6	8	8	7	8	11	3	4	8	5	7	3
d__Bacteria|p__Chrysiogenetes	2	0	3	1	2	3	1	1	3	0	0	1	0	0	0	2	3	2	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	2	2	0	0	2	0	0	2	10	1	0	0	1	0	2	1	0	0	1	2	1	0	0	0	1	4	0	0	1	0	0	1	3	0	0	0	1	0	0	1	0	2	2	0	1	0	1	0	3	0	3	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	1	2	0	0	6	1	0	0	1	1	2	1	1	3	0	1	0	2	1	0	0	0	0	1	0	7	1	0	0	3	1	0	2	2	0	1	2	2	0	3	0	0	1	3	0	0	2	0	2	2	1	0	2	1	0	0	0	1	2	2	1	1	1	1	1	3	4	0	3	1	2	1	0	1	1	0	0	2	0	1	0	1	1	2	0	0	1	3	0	0	1	1	0
d__Bacteria|p__Cloacimonetes	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	3	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria	25	1	19	16	5	15	27	18	10	11	35	11	7	28	17	16	39	17	9	17	11	14	24	8	13	20	19	21	13	18	16	4	22	10	14	21	14	11	16	15	12	32	24	13	9	22	11	9	20	10	20	15	13	8	12	24	11	25	26	18	4	12	30	28	8	6	7	15	7	22	9	9	23	4	15	14	14	9	13	10	6	17	15	13	14	15	16	15	11	11	30	16	19	22	8	24	7	11	8	10	13	15	4	21	11	8	10	14	23	11	18	3	28	22	19	14	7	17	11	48	18	18	9	20	12	21	14	9	12	39	12	22	14	5	7	45	24	7	12	11	19	22	42	24	7	27	4	20	5	15	10	22	21	6	16	20	18	27	10	13	13	12	16	17	27	16	12	21	12	16	5	35	21	28	26	16	21	10	39	11	14	10	17	7	7	29	36	14	25	18	12	10	11	8	8	20	16	14	9
d__Bacteria|p__Deferribacteres	0	0	0	2	0	3	3	0	1	1	1	2	1	2	1	0	0	1	2	0	6	1	2	1	4	7	6	7	0	1	2	1	2	2	2	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	3	1	2	1	1	0	1	1	3	0	1	1	0	2	2	0	0	2	2	2	1	1	0	0	2	2	0	4	0	1	1	0	2	0	0	0	1	4	0	1	4	1	3	3	3	1	1	0	0	2	0	3	1	1	0	2	0	0	2	1	2	1	2	1	4	0	0	3	0	1	5	1	0	1	2	1	2	3	0	2	1	0	1	0	0	0	1	0	0	0	2	1	1	1	1	2	2	1	0	0	1	1	2	3	0	3	2	1	1	0	0	2	2	5	0	3	0	0	0	1	0	2	3	1	2	1	0	0	4	4	1	4	1	2	1	1	3	4	1	1	3	1	0	5	5	2	1	1	0
d__Bacteria|p__Deinococcus-Thermus	14	0	14	4	7	10	12	10	7	12	18	5	5	21	1	9	21	20	16	13	6	4	16	2	10	7	13	4	10	8	3	1	11	3	19	7	4	6	6	6	13	40	21	1	5	16	1	1	12	7	10	16	10	6	8	5	2	15	23	20	0	8	19	30	5	12	3	1	1	26	3	8	6	2	7	21	5	3	6	0	8	10	19	8	15	11	7	10	4	16	3	11	4	14	6	5	7	2	0	5	3	12	0	12	5	5	2	16	9	7	12	1	16	2	9	10	3	6	7	28	1	3	6	13	5	10	5	1	3	29	5	23	6	0	19	68	14	7	3	4	6	11	30	14	0	13	0	2	2	11	4	13	9	1	5	13	14	8	19	16	9	16	25	28	10	15	3	13	11	7	3	26	25	18	22	5	21	8	12	4	5	19	14	2	10	6	28	8	14	7	9	12	8	4	4	11	25	15	6
d__Bacteria|p__Dictyoglomi	2	0	0	0	0	0	0	0	1	0	0	0	0	2	3	1	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	3	4	1	0	0	1	1	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	4	0	0	0	4	1	0	1	1	0	0	3	1	0	5	0	2	0	0	0	2	0	2	0	0	2	0	0	0	0	1	0	0	3	0	0	0	4	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	1	0	0	1	0	1	9	0	0	0	0	0	1	1	0	2	2	2	0	0	0	3	0	1	2	0	1	0	0	0	0	0	3	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
d__Bacteria|p__Elusimicrobia	0	0	0	0	2	1	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	4	1	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	3	0	1	0	2	1	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	2	0
d__Bacteria|p__Fibrobacteres	0	0	0	0	1	1	4	5	0	0	1	1	0	1	1	2	1	0	0	0	0	0	1	1	0	0	3	0	0	0	0	2	1	2	2	0	1	0	1	2	1	3	2	0	0	1	0	0	0	1	0	3	0	0	0	1	1	4	4	4	0	0	4	3	2	0	1	1	1	2	1	0	1	0	2	1	0	1	1	1	5	0	0	0	1	2	1	0	0	1	1	3	0	0	3	0	0	0	1	1	2	2	0	2	1	3	1	1	1	3	2	0	2	0	1	2	0	1	0	4	0	2	2	0	0	0	0	0	1	6	1	4	1	0	2	5	0	1	1	2	1	3	0	1	1	1	0	0	0	3	0	3	1	1	0	1	4	0	6	1	3	0	0	2	5	1	1	4	0	1	0	2	1	0	1	0	1	0	4	1	2	3	2	3	1	2	0	5	1	0	1	1	0	1	0	8	1	3	1
d__Bacteria|p__Firmicutes	116212	60109	175709	74118	165499	144690	89608	101729	36633	175764	85705	147588	124305	65897	152632	187731	70074	64311	140793	130303	48703	64824	62521	210259	60807	138762	82176	45264	112394	112799	85746	75052	101605	169926	90350	189045	170201	121083	73979	254616	11192	41344	45449	132630	165987	98919	105166	193439	109695	93487	147179	59129	80098	249566	123347	67160	166441	27895	186768	53563	46415	177704	61077	80382	184823	268148	67212	186653	135703	20883	115853	160944	83935	43032	106338	61838	146503	39474	72268	162431	237402	92873	176587	194897	67232	91518	137127	154058	108104	58979	101501	173845	177059	111525	138558	120643	94592	161240	220214	109729	100830	65885	163216	75188	204951	109699	185023	69459	96107	64345	162273	58358	104101	54449	187409	159421	117633	67177	198546	83294	94266	145127	131183	62359	150103	93375	254698	83851	247339	150087	67233	105473	67534	33561	53272	34920	24978	145912	46341	98353	149143	83838	26641	74870	69738	72825	139745	48935	209868	208188	186161	168704	71461	82846	103065	95401	42792	102157	116456	144805	123810	197992	55626	124492	59542	120423	235047	110029	107062	108115	102687	63244	80960	83202	128875	86288	88254	173007	61251	80256	52150	85665	114675	86294	37357	96461	52217	125577	71675	26592	113965	127128	172911	50767	78344	95397	131395	152764	105354
d__Bacteria|p__Fusobacteria	13	8	9	110	8	11	11	4	41	8	13	6	6	19	14	9	53	7	8	5	8	721	16	2	309	230	15	15	16	6	67	8	7	24	253	4	18	239	30	8	2	82	7	15	3	2	58	4	17	12	18	1485	139	5	17	1239	6	6	9	215	371	23	9	6	6	13	2	4	5	3	6	15	3	4	19	8	9	7	10	29	16	1	1	10	11	11	13	10	7	451	248	8	15	25	9	23	3475	10	37	148	29	9	8	9	7	9	11	744	10	61	4	1	23	13	1	565	7	15	7	9	30	5	6	11	7	112	4	10	9	9	4	7	13	0	65	2	22	9	0	5	23	16	5	15	9	22	2	37	11	7	4	32	1	12	4	14	4834	181	12	477	15	145	148	28	5	8	3	5	30	46	196	18	156	79	11	4	1319	46	7	2	12	4	4	46	12	304	13	7	6	1	8	3	8	1	0	6	9	2	6
d__Bacteria|p__Gemmatimonadetes	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	2	0	0	0	3	0	0	1	0	2	1	1	0	0	0	0	3	0	1	0	2	0	0	0	1	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	1	4	2	0	2	0	0	0	2	1	0	0	0	0	0	3	1	3	1	2	0	0	0	1	1	1	0	0	0	5	0	0	0	0	1	0	0	0	2	0	0	0
d__Bacteria|p__Ignavibacteriae	0	0	1	0	1	1	0	0	2	1	1	0	1	3	0	1	2	2	2	0	0	0	1	1	1	0	1	0	1	2	0	0	3	0	2	1	0	1	2	0	1	0	0	0	0	0	0	1	1	0	3	3	1	0	0	0	0	2	1	3	1	2	1	4	0	2	0	2	1	0	0	0	0	4	0	0	6	1	0	3	3	0	0	1	3	2	1	1	0	3	3	1	0	1	0	3	0	0	0	0	2	4	0	1	2	0	1	0	1	1	0	0	0	1	1	1	0	0	1	2	4	1	0	1	1	0	0	1	0	1	1	0	1	0	2	0	3	0	1	0	3	0	5	1	0	3	0	0	0	0	0	0	0	2	1	4	2	0	1	1	1	1	0	0	4	0	0	2	0	0	0	2	0	3	0	1	1	5	0	1	0	1	4	0	0	0	2	3	0	1	3	2	2	0	0	1	0	3	0
d__Bacteria|p__Nitrospirae	0	0	0	1	0	1	1	5	0	3	0	1	0	0	1	3	2	5	0	3	1	0	1	0	1	2	0	2	2	0	0	1	6	2	3	0	0	0	0	0	0	1	2	1	0	0	1	0	0	2	1	3	2	0	0	1	0	3	0	0	1	0	1	1	0	0	0	1	2	3	0	1	1	1	1	2	1	0	1	0	2	0	1	2	2	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	3	0	2	2	1	0	14	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	2	4	1	0	0	0	1	0	6	2	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	2	3	4	0	1	0	1	1	1	0	1	1	4	2	0	3	0	3	0	0	6	4	0	0	1	3	2	0	1	0	0	1	0	0	6	0	2	0
d__Bacteria|p__Planctomycetes	6	0	5	3	0	3	5	3	2	1	3	1	3	4	0	3	10	11	1	4	1	0	0	0	5	3	1	1	3	2	2	0	4	5	1	4	1	5	4	6	6	8	5	1	1	3	3	4	0	1	0	2	2	2	2	4	7	2	0	2	1	0	1	10	4	2	0	3	0	9	0	5	5	3	0	4	10	0	2	0	3	1	2	6	3	1	2	2	6	7	2	0	1	3	1	3	1	0	0	1	2	3	4	3	3	1	7	1	1	5	2	5	4	2	2	4	4	1	1	2	0	2	2	1	4	1	3	0	4	4	3	3	1	0	2	19	1	3	6	3	7	1	6	6	0	5	0	0	0	3	1	2	3	0	8	2	5	9	5	0	5	4	6	1	5	5	2	2	1	2	0	7	3	4	1	5	4	1	4	2	3	7	6	0	0	0	4	2	6	1	3	3	1	5	1	12	5	1	3
d__Bacteria|p__Proteobacteria	920	165	1182	3392	46340	9178	470	8539	37709	248	1105	736	1033	106655	1388	601	20808	9288	5168	44819	431	424	1682	971	7101	17586	631	487	19495	548	8460	402	502	499	1720	659	339	453	4605	14041	709	3566	6750	1792	255	3377	530	497	8583	3936	7010	4865	334211	828	377	2422	95318	10080	11418	8379	1573	574	47472	1877	2497	3475	3090	1102	7755	184743	274	12653	19222	1428	2482	1116	7252	8542	739	3050	321	1302	1886	2009	1207	1329	873	19060	12285	1959	850	6193	2448	21896	451	2113	6909	638	10583	114752	8425	37952	16364	91084	453	6922	412	5633	632	318	1387	34957	737	1104	407	9978	1283	1719	3792	22448	27014	955	521	57603	2099	6157	300	475	220	10919	571	4221	2632	14720	2364	49099	3515	1635	330	61989	17055	1138	4796	654	3595	4254	198	423	12501	12225	5400	10795	2585	580	23013	434	501	1092	1161	11380	1522	1607	960	3429	3388	910	332	726	1573	688	207	1976	770	634	1263	652	11248	561	4041	13566	1560	23427	785	36234	361	3861	2008	11293	1122	3746	628	594	955	1204	353	1102	1083	828	836
d__Bacteria|p__Spirochaetes	51	6	50	22	24	67	17	45	33	54	34	55	50	49	24	49	33	52	82	32	31	22	50	8	78	157	41	73	72	27	49	18	33	52	42	87	34	26	16	32	19	37	39	27	15	49	13	35	42	26	58	40	32	47	48	713	34	20	101	44	14	37	25	44	34	17	28	39	25	41	27	37	29	11	79	28	26	38	39	36	36	60	132	39	25	40	36	38	36	41	24	40	23	44	28	143	97	28	24	17	44	24	8	51	88	33	57	99	58	26	58	14	41	21	43	45	24	41	41	53	26	35	72	81	31	28	25	49	21	40	27	47	42	11	55	43	10	30	17	21	36	34	38	36	22	48	18	38	20	36	25	63	26	12	38	64	30	25	62	48	36	28	64	489	66	54	26	38	31	42	9	44	46	30	48	22	41	55	69	32	34	29	44	43	10	50	31	36	46	24	55	46	24	57	26	57	47	54	33
d__Bacteria|p__Synergistetes	7	0	4	1	4	2	4	5	15	1	4	4	5	5	1	9	16	8	4	1	0	2	8	1	9	10	6	3	13	3	5	1	2	2	13	4	2	1	0	1	6	8	2	1	5	10	14	0	1	1	2	22	7	2	2	7	4	15	7	3	1	3	7	13	2	4	5	4	0	6	0	3	1	0	8	3	0	2	5	1	1	3	0	3	2	3	3	3	1	4	4	4	3	3	2	3	3	1	2	4	5	1	4	3	7	2	6	3	1	3	2	3	3	2	11	0	3	2	4	10	2	0	2	12	3	8	2	1	0	9	2	15	10	0	6	145	6	1	1	2	4	0	27	4	1	9	1	2	1	7	3	7	3	1	2	2	3	15	8	3	23	2	8	5	7	5	3	5	5	3	1	9	3	6	4	0	9	7	6	4	3	0	5	0	3	5	4	2	7	5	6	9	2	3	0	13	4	5	0
d__Bacteria|p__Tenericutes	18	6	13	10	2	16	18	26	33	13	17	18	15	40	21	12	11	10	4	20	7	25	7	5	6	8	23	10	13	13	6	14	27	50	19	21	4	7	5	6	1	6	9	22	7	16	31	34	30	11	13	28	11	8	13	28	18	6	5	17	3	19	20	9	15	9	10	11	14	7	8	3	2	4	21	7	43	2	30	22	14	2	3	6	15	11	23	7	15	15	50	17	16	32	17	39	31	18	8	17	7	10	13	11	17	21	24	15	30	6	9	1	67	23	21	14	32	13	16	13	23	6	8	2	26	21	18	21	10	36	7	11	6	2	26	2	6	5	1	7	24	24	10	42	8	10	7	73	2	7	10	17	6	12	17	26	11	21	12	0	10	35	6	41	9	11	5	4	3	4	4	33	7	19	22	14	15	13	8	7	0	12	10	9	0	45	11	29	16	2	7	11	6	1	5	9	7	7	7
d__Bacteria|p__Thermodesulfobacteria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Thermotogae	5	2	2	2	1	5	11	4	0	1	4	4	2	1	5	1	1	5	1	1	1	0	5	0	2	3	4	3	2	1	2	8	1	5	3	0	0	3	2	1	0	1	1	9	3	2	2	3	6	1	6	1	1	0	0	4	0	1	2	2	0	0	2	8	0	4	0	1	1	4	3	2	35	0	7	4	5	1	3	2	0	2	1	1	2	7	5	5	2	2	22	1	0	7	3	4	7	3	1	5	0	1	0	0	1	0	1	3	2	0	0	0	6	8	1	3	5	2	1	11	6	1	0	3	6	9	6	2	2	2	0	1	1	0	8	3	2	2	1	2	3	4	5	2	4	2	1	9	0	3	2	20	2	5	3	6	0	6	3	0	1	0	9	3	4	2	0	4	1	3	3	1	1	4	3	2	2	4	1	0	0	3	2	2	0	4	5	2	4	0	2	3	3	0	0	6	2	3	1
d__Bacteria|p__Verrucomicrobia	3858	315	1774	338	1713	4225	11	1660	943	3116	624	2	195	3398	3	8	2310	94	3424	8	115	979	82773	12	6	2	3	24305	8	779	1209	86	58	1214	686	1203	24	15600	916	1825	68111	159	25722	2115	2264	5	3321	337	878	1571	25	731	22	41	31	38	1	23110	2	89	4	3062	67	1972	1	4982	6	4764	155	37394	1	4	1031	11	2255	8645	1546	514	712	302	56	3	33	1582	6248	28	3	3	4837	10	16041	4481	10	45	1267	1956	20875	3545	2	134	4	5542	11	8854	2538	22	25908	0	5	42	82	33045	52	7	32	16	2	36	1	35	677	294	6	557	4523	6942	2	3	561	237	93	4007	6568	5	803	1067	20	20	4	1153	7	1604	6717	2962	3079	126	5	1583	339	5	26	6	3	2	16	17719	36	10936	26	6	40203	28	34	1976	2236	28935	2089	6923	76	4732	75	11903	24	44	7	16	1384	108	5	458	9	37321	3960	307	74526	12870	140	9	56	102	148	12	650	30	80	21833	6	71	1
