SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
CCIS48579360ST-4-0	22399794	21399794	1000000	15673	95011	296899	211	228
CCIS48725289ST-4-0	26066988	25066988	1000000	20818	235163	305955	208	230
CCIS50003399ST-4-0	54933353	53933353	1000000	27483	361729	322342	205	225
CCIS50148151ST-4-0	40495844	39495844	1000000	27457	290361	338547	206	232
CCIS50369211ST-20-0	17689389	16689389	1000000	24921	189298	338664	206	230
CCIS50471204ST-4-0	70891737	69891737	1000000	29127	285937	319387	210	235
CCIS50561855ST-4-0	26243105	25243105	1000000	18681	138338	383006	208	230
CCIS51595129ST-4-0	50826677	49826677	1000000	19080	138906	305065	205	229
CCIS51667829ST-4-0	57693880	56693880	1000000	22821	185422	301624	209	226
CCIS52234160ST-4-0	36623720	35623720	1000000	19292	212297	310029	209	237
CCIS52370277ST-4-0	42641895	41641895	1000000	26664	306247	322847	209	235
CCIS53043478ST-4-0	28555515	27555515	1000000	18059	167674	296086	210	229
CCIS53355328ST-4-0	28565865	27565865	1000000	21126	201494	281934	208	231
CCIS53557295ST-4-0	23295336	22295336	1000000	25036	292860	357047	204	228
CCIS54027808ST-4-0	36350751	35350751	1000000	23868	197772	346516	206	230
CCIS55230578ST-4-0	40954568	39954568	1000000	19727	213126	297273	212	233
CCIS55531770ST-4-0	14407340	13407340	1000000	24832	252597	340768	208	230
CCIS56503244ST-3-0	20640610	19640610	1000000	20141	204147	259197	207	218
CCIS58234805ST-4-0	18824436	17824436	1000000	41045	300946	343815	211	234
CCIS59132091ST-4-0	82925271	81925271	1000000	19964	183910	313718	208	227
CCIS59903910ST-4-0	41567280	40567280	1000000	32803	371062	343029	209	231
CCIS61287323ST-4-0	52854392	51854392	1000000	19109	274172	328153	206	235
CCIS62605362ST-3-0	86601614	85601614	1000000	17344	164008	276008	210	224
CCIS62794166ST-4-0	28477246	27477246	1000000	22935	277836	342119	209	233
CCIS63448910ST-4-0	53956900	52956900	1000000	24991	326635	382469	206	225
CCIS63468405ST-4-0	57147473	56147473	1000000	21782	229305	339432	209	235
CCIS63910149ST-4-0	16002463	15002463	1000000	22739	279045	304667	211	232
CCIS64773582ST-4-0	79205150	78205150	1000000	27298	215766	305530	211	239
CCIS64785924ST-20-0	10879524	9879524	1000000	27141	266192	324547	211	240
